#MenuPropertySpecParam=MENUPROPERTY_SPEC
ID,Name,CaptionTextId - CaptionTextId - s32,IconId - IconId - s32,RequiredPropertyId - RequiredPropertyId - s32,CompareType - CompareType - u8,RequiredPropertyFormatId - RequiredPropertyFormatId - u8,AdhocCaption - AdhocCaption - fixstrW
349,,0,-1,0,1,10,付加カット率 闇
350,,11031,9022,0,1,2,受け能力
351,,0,-1,0,1,1,付加受け能力
360,,11300,8009,10103,2,0,必要能力値 筋力
361,,11301,8010,10104,2,0,必要能力値 技量
362,,11302,8011,10106,2,0,必要能力値 理力
363,,11303,8012,10107,2,0,必要能力値 信仰
365,,0,-1,0,2,0,能力解放値 筋力
366,,0,-1,0,2,0,能力解放値 技量
367,,0,-1,0,2,0,能力解放値 理力
368,,0,-1,0,2,0,能力解放値 信仰
370,,11310,8009,0,1,100,能力補正 筋力
371,,11311,8010,0,1,100,能力補正 技量
372,,11312,8011,0,1,100,能力補正 理力
373,,11313,8012,0,1,100,能力補正 信仰
380,,11350,9002,0,1,0,耐久度
381,,11350,9002,0,1,0,耐久度
390,,11034,9032,0,2,2,消費AP：L1
391,,11034,9032,0,2,2,消費MP：L2
392,,11034,9032,0,2,2,消費MP：R1
393,,11034,9032,0,2,2,消費MP：R2
400,,10530,8030,0,1,0,物理防御力
401,,10531,8031,0,1,0,物理防御力 打撃
402,,10532,8032,0,1,0,物理防御力 斬撃
403,,10533,8033,0,1,0,物理防御力 刺突
404,,10534,8034,0,1,0,魔法防御力
405,,10535,8035,0,1,0,炎防御力
406,,10536,8036,0,1,0,雷防御力
410,,11200,8017,0,1,11,強靭度
411,,11190,8027,0,1,0,毒耐性
412,,11191,8026,0,1,0,出血耐性
413,,11192,8028,0,1,0,呪い耐性
414,,11193,8029,0,1,0,冷気耐性
415,,11200,8017,0,2,20,新強靭度
420,,11350,9002,0,1,0,耐久度
421,,11350,9002,0,1,0,耐久度
430,,11180,9023,0,2,20,物理カット率
431,,11181,9024,0,2,20,打撃カット率
432,,11182,9025,0,2,20,斬撃カット率
433,,11183,9026,0,2,20,刺突カット率
434,,11184,9027,0,2,20,魔法カット率
435,,11185,9028,0,2,20,炎カット率
436,,11186,9029,0,2,20,雷カット率
437,,11187,9030,0,2,20,闇カット率
500,,11002,9004,0,0,0,スペル種別
501,,11003,9001,0,0,0,攻撃属性
502,,11040,9006,0,2,0,使用スロット数
503,,11031,-1,0,1,0,使用回数
504,,11302,8011,10106,2,0,必要能力値 理力
505,,11303,8012,10107,2,0,必要能力値 信仰
520,,11041,9005,0,2,0,消費MP
600,,11001,9000,0,0,120,武器種別
601,,11003,9001,0,0,0,攻撃属性
610,,11010,9009,0,1,0,物理攻撃力
611,,11011,9010,0,1,0,魔法攻撃力
612,,11012,9011,0,1,0,炎攻撃力
613,,11013,9012,0,1,0,雷攻撃力
614,,11030,9014,0,1,0,致命
615,,11014,9013,0,1,0,闇攻撃力
620,,11050,8027,0,1,0,毒効果
621,,11051,8026,0,1,0,出血効果
622,,11052,-1,0,1,0,神聖効果
623,,11053,-1,0,1,0,邪教効果
624,,11054,8029,0,1,0,冷気効果
10000,,10100,-1,0,0,0,名前
10001,,10101,-1,0,0,0,性別
10002,,10102,-1,0,0,0,素性
10003,,10103,-1,0,0,0,贈り物
10004,,10104,-1,0,0,0,体型
10005,,10105,-1,0,0,0,顔
10006,,10106,-1,0,0,0,髪型
10007,,10107,-1,0,0,0,髪と瞳の色
10008,,10200,8000,0,1,0,レベル
10009,,10201,8001,0,1,0,所持ソウル
10010,,10202,8002,0,0,2,必要ソウル
10011,,10300,8039,0,0,110,誓約
10012,,10301,-1,0,0,0,年齢層
10013,,10203,8003,0,2,0,亡者度
10100,,10400,8004,0,1,0,生命力
10101,,10401,8005,0,1,0,持久力
10102,,10402,8006,0,1,0,記憶力
10103,,10403,8009,0,1,0,筋力
10104,,10404,8010,0,1,0,技量
10105,,10405,8007,0,1,0,体力
10106,,10406,8011,0,1,0,理力
10107,,10407,8012,0,1,0,信仰
10108,,10408,-1,0,1,0,人間性
10109,,10409,8008,0,1,0,運
10200,,10500,8013,0,1,0,HP
10201,,10500,8013,0,1,0,HP
10202,,10501,8014,0,1,0,MP
10203,,10501,8014,0,1,0,MP
10204,,10502,8015,0,1,0,スタミナ
10205,,10510,8016,0,2,0,装備重量
10206,,10510,8016,0,1,0,装備重量
10207,,10520,8020,0,1,0,右武器１　攻撃力
10208,,10521,8021,0,1,0,右武器２　攻撃力
10209,,10522,8022,0,1,0,右武器３　攻撃力
10210,,10523,8023,0,1,0,左武器１　攻撃力
10211,,10524,8024,0,1,0,左武器２　攻撃力
10212,,10525,8025,0,1,0,左武器３　攻撃力
10213,,10530,9023,0,1,0,物理防御力
10214,,10531,9024,0,1,0,物理防御力 打撃
10215,,10532,9025,0,1,0,物理防御力 斬撃
10216,,10533,9026,0,1,0,物理防御力 刺突
10217,,10534,9027,0,1,0,魔法防御力
10218,,10535,9028,0,1,0,炎防御力
10219,,10536,9029,0,1,0,雷防御力
10220,,10540,8027,0,1,0,毒耐性
10221,,10541,8026,0,1,0,出血耐性
10222,,10542,8028,0,1,0,呪い耐性
10223,,11200,8017,0,1,11,強靭度
10224,,10561,8018,0,1,0,記憶スロット数
10225,,10562,8019,0,1,0,アイテム発見力
10226,,10511,8040,0,2,0,荷重割合
10227,,11200,8017,0,2,21,新強靭度
10242,,11180,9023,0,2,22,カット 物理
10243,,11184,9027,0,2,22,カット 魔法
10244,,11205,9028,0,2,22,カット 炎
10245,,11206,9029,0,2,22,カット 雷
10258,,10537,9030,0,1,0,闇防御力
10259,,11201,9024,0,2,22,対打撃
10260,,11202,9025,0,2,22,対斬撃
10261,,11203,9026,0,2,22,対刺突
10262,,11207,9030,0,2,22,カット 闇
10263,,10543,8029,0,1,0,冷気耐性
10264,,10541,8026,0,1,0,防具耐性：出血
10265,,10540,8027,0,1,0,防具耐性：毒
10266,,10543,8029,0,1,0,防具耐性：冷気
10267,,10542,8028,0,1,0,防具耐性：呪い
10270,,11034,-1,0,1,0,戦技：筋力
10271,,11034,-1,0,1,0,戦技：技量
10272,,11034,-1,0,1,0,戦技：魔法
10273,,11034,-1,0,1,0,戦技：奇跡
10280,,11034,-1,0,1,0,戦技：筋力最大値
10281,,11034,-1,0,1,0,戦技：技量最大値
10282,,11034,-1,0,1,0,戦技：魔法最大値
10283,,11034,-1,0,1,0,戦技：奇跡最大値
20300,,0,-1,0,1,0,攻撃力 合計
20301,,0,-1,0,1,0,カット率 合計
20302,,0,-1,0,1,0,効果別
20400,,0,-1,0,1,0,カット率 合計
20401,,0,-1,0,1,0,耐性 合計
20600,,0,-1,0,1,0,攻撃力 合計
