#NpcThinkParam=NPC_THINK_PARAM_ST
ID,Name,logicId - logicId - s32,battleGoalId - battleGoalId - s32,nearDist - nearDist - f32,midDist - midDist - f32,farDist - farDist - f32,OutDist - OutDist - f32,BackHomeLife_OnHitEneWal - BackHomeLife_OnHitEneWal - f32,goalID_ToCaution - goalID_ToCaution - f32,idAttackCannotMove - idAttackCannotMove - s32,goalID_toFind - goalID_toFind - f32,callHelp_ActionAnimId - callHelp_ActionAnimId - s32,callHelp_CallActionId - callHelp_CallActionId - s32,eye_dist - eye_dist - s16,ear_dist - ear_dist - s16,ear_soundcutDist - ear_soundcutDist - s16,nose_dist - nose_dist - s16,maxBackhomeDist - maxBackhomeDist - s16,backhomeDist - backhomeDist - s16,backhomeBattleDist - backhomeBattleDist - s16,nonBattleActLife - nonBattleActLife - s16,BackHome_LookTargetTime - BackHome_LookTargetTime - s16,BackHome_LookTargetDist - BackHome_LookTargetDist - s16,SightTargetForgetTime - SightTargetForgetTime - s16,SoundTargetForgetTime - SoundTargetForgetTime - s16,BattleStartDist - BattleStartDist - s16,callHelp_MyPeerId - callHelp_MyPeerId - s16,callHelp_CallPeerId - callHelp_CallPeerId - s16,targetSys_DmgEffectRate - targetSys_DmgEffectRate - s16,teamAttackEffectivity - teamAttackEffectivity - u8,eye_angX - eye_angX - u8,eye_angY - eye_angY - u8,State0 - State0 - u8,State1 - State1 - u8,callHelp_CallValidMinDistTarget - callHelp_CallValidMinDistTarget - u8,callHelp_CallValidRange - callHelp_CallValidRange - u8,callHelp_ForgetTimeByArrival - callHelp_ForgetTimeByArrival - u8,callHelp_MinWaitTime - callHelp_MinWaitTime - u8,callHelp_MaxWaitTime - callHelp_MaxWaitTime - u8,goalAction_ToCaution - goalAction_ToCaution - u8,goalAction_ToFind - goalAction_ToFind - u8,callHelp_ReplyBehaviorType - callHelp_ReplyBehaviorType - u8,disablePathMove - disablePathMove - u8,skipArrivalVisibleCheck - skipArrivalVisibleCheck - u8,thinkAttrDoAdmirer - thinkAttrDoAdmirer - u8,enableNaviFlg_Edge - enableNaviFlg_Edge - u8,enableNaviFlg_LargeSpace - enableNaviFlg_LargeSpace - u8,enableNaviFlg_Ladder - enableNaviFlg_Ladder - u8,enableNaviFlg_Hole - enableNaviFlg_Hole - u8,enableNaviFlg_Door - enableNaviFlg_Door - u8,enableNaviFlg_InSideWall - enableNaviFlg_InSideWall - u8,enableNaviFlg_EdgeOrdinary - enableNaviFlg_EdgeOrdinary - u8,enableNaviFlg_reserve0 - enableNaviFlg_reserve0 - u8,enableNaviFlagReserve - enableNaviFlagReserve - dummy8,eyeDist_ForDark - eyeDist_ForDark - s16,battleStartDist_forDark - battleStartDist_forDark - s16,eyeDist_ForPitchDark - eyeDist_ForPitchDark - s16,battleStartDist_forPitchDark - battleStartDist_forPitchDark - s16,platoonReplyTime - platoonReplyTime - f32,platoonReplyAddRandomTime - platoonReplyAddRandomTime - f32,eye_BackOffsetDist - eye_BackOffsetDist - s16,eye_BeginDist - eye_BeginDist - s16,targetArriveDist - targetArriveDist - f32,pointArriveDist - pointArriveDist - f32,changeStateAction_ToFind - changeStateAction_ToFind - u8,changeStateAction_ToCaution - changeStateAction_ToCaution - u8,changeStateAction_ToBattle - changeStateAction_ToBattle - u8,goalAction_ToDisappear - goalAction_ToDisappear - u8,disableLocalSteering - disableLocalSteering - u8,actTypeOnFailedPath - actTypeOnFailedPath - u8,interestCategory - interestCategory - u8,goalAction_ToInterest - goalAction_ToInterest - u8,Unk1 - Unk1 - s16,ear_angX - ear_angX - s16,ear_angY - ear_angY - s16,changeStateAction_ToInterest - changeStateAction_ToInterest - u8,changeStateAction_ToNormal - changeStateAction_ToNormal - u8,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - s16,Unk5 - Unk5 - u8,Unk6 - Unk6 - u8,Unk7 - Unk7 - f32,pad - pad - dummy8
542,,1542,14000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,256,0,0,5,-
10001,,10000,11000,8.3644584E-21,1.0804E-41,0,150,5,7,3000,0,0,0,10,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,7710,7710,0,0,0,0,10,7710,1.0804E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-
10000000,,20000,11000,0,0,0,150,0,7,0,0,0,0,0,0,0,0,9999,9998,9999,5,20,20,0,17174,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,5,-
10001000,,10000,11000,-3.3556032E-07,6.4824E-41,0,150,0,7,0,0.1,0,0,9999,0,0,9999,9999,9998,9999,5,20,20,0,17174,9999,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,-19276,-19276,0,0,0,0,9999,-19276,6.4824E-41,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,5,-
10002080,,20000,11000,0,0,0,150,0,7,0,0,0,0,0,0,0,0,9999,9998,9999,5,20,20,0,17174,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,5,-
10003000,,11000,11000,8.364499E-21,1.388336E-39,2.1E-44,150,0,1,0,0,0,0,25,0,0,0,9999,9998,9999,5,20,20,0,16256,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,7692,2570,0,16840,0,0,60,7710,1.384735E-39,2.1E-44,0,0,128,63,0,0,122,68,0,15,15,2,0,0,0,256,0,0,1,-
10003001,,11000,11000,8.364483E-21,3.1152E-40,4E-45,150,0,1,0,0,0,0,8,0,0,0,9999,9998,9999,5,20,20,0,16256,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,7692,5140,0,16840,0,0,40,7710,3.1152E-40,4E-45,0,0,128,63,0,0,122,68,0,3,3,2,0,0,0,256,0,0,1,-
10003002,,11000,11000,8.364499E-21,3.4033E-40,4E-45,150,0,1,0,0,0,0,28,0,0,0,9999,9998,9999,5,20,20,0,16256,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,12812,25700,0,16840,0,0,60,7710,3.4033E-40,4E-45,0,0,128,63,0,0,122,68,0,3,3,2,0,0,0,256,0,0,1,-
10004000,,530010,530010,0,0,0,150,0,7,0,0,0,0,0,0,0,9999,9999,9998,9999,5,20,20,0,17174,9999,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,150,-
10010000,,11000,11000,0,0,0,150,0,7,0,0,0,0,0,0,0,0,9999,9998,9999,5,20,20,0,17174,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,150,-
10010010,,11000,11000,0,0,0,150,0,7,0,0,0,0,0,0,0,0,9999,9998,9999,5,20,20,0,17174,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,2,0,0,0,256,0,0,150,-
10090000,,101000,101000,8.3644746E-21,4.69981E-40,4E-45,150,5,10,3000,0.1,0,0,20,0,0,0,75,50,10,5,10,25,0,17174,25,0,0,100,34,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,0,1,2,30,3855,4.69981E-40,4E-45,0,0,22,67,0,0,0,0,0,5,3,2,3,0,0,0,0,0,150,-
10090001,,101000,101000,8.3644746E-21,4.69981E-40,4E-45,150,5,10,3000,0.1,0,0,20,0,0,0,75,50,10,5,10,25,0,17174,25,0,0,100,34,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,0,1,2,30,3855,4.69981E-40,4E-45,0,0,22,67,0,0,0,0,0,5,3,2,3,0,0,0,0,0,150,-
10090002,,101000,101000,8.3644746E-21,4.69981E-40,4E-45,150,5,10,3000,0.1,0,0,20,0,0,0,75,50,10,5,10,25,0,17174,13,0,0,100,34,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,0,1,2,30,3855,4.69981E-40,4E-45,0,0,22,67,0,0,0,0,0,5,3,2,2,0,0,0,0,0,150,-
10090003,,101000,101000,8.3644746E-21,4.69981E-40,4E-45,150,5,10,3000,0.1,0,0,20,0,0,0,75,50,10,5,10,25,0,17174,8,0,0,100,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,0,1,2,30,3855,4.69981E-40,4E-45,0,0,22,67,0,0,0,0,0,5,3,2,1,0,0,0,0,0,150,-
10090004,,101000,101000,8.3644746E-21,4.69981E-40,4E-45,150,5,10,3000,0.1,0,0,20,0,0,0,75,50,10,5,10,25,0,17174,8,0,0,100,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,0,1,2,30,3855,4.69981E-40,4E-45,0,0,22,67,0,0,0,0,0,5,3,2,0,0,0,0,0,0,150,-
10100000,,101000,101000,0.011474647,3.78146E-40,2.295892E-39,150,6,15,3000,0.1,0,0,20,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,40,5903,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100001,,101000,101000,0.011474637,3.78146E-40,1.836714E-39,150,6,15,3000,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,45,4620,1.296501E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100002,,101000,101000,0.011474637,3.78146E-40,1.836714E-39,150,6,15,3000,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,4623,7710,0,16840,1,2,45,5650,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100003,,101000,101000,0.011474647,3.77426E-40,2.295892E-39,150,6,15,3000,0.1,0,0,20,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3849,7196,0,16840,1,2,40,3849,1.29578E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100004,,101000,101000,0.011474637,3.78146E-40,1.836714E-39,150,6,15,3000,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,45,4626,1.296501E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100005,,101000,101000,0.011474665,3.78146E-40,9.18359E-40,150,6,15,3000,0.1,0,0,50,0,0,0,64,48,8,9,9,16,0,17174,50,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,70,4626,1.296501E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100006,,101000,101000,0.011474642,3.83548E-40,1.285701E-39,150,6,15,3000,0.1,0,0,35,0,0,0,64,48,8,9,9,16,0,17174,35,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,11565,0,16840,1,2,55,4626,1.301903E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100007,,101000,101000,0.011474626,3.83548E-40,2.571398E-39,150,6,15,3000,0.1,0,0,18,0,0,0,64,48,8,9,9,16,0,17174,18,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,11565,0,16840,1,2,38,4626,1.301903E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100008,,101000,101000,0.011474665,3.78146E-40,7.34688E-40,150,6,15,3000,0.1,0,0,60,0,0,0,64,48,8,9,9,16,0,17174,60,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,80,4626,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100009,,101000,101000,0.011474624,3.70223E-40,2.846905E-39,150,6,15,3000,0.1,0,0,16,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,2056,0,16840,1,2,36,4626,1.288578E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100010,,101000,101000,0.011474651,3.78146E-40,1.836714E-39,150,6,15,3000,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,45,11550,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100011,,101000,101000,0.01147463,3.78146E-40,2.11222E-39,150,6,15,3000,0.1,0,0,22,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,4633,7710,0,16840,1,2,42,5662,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100012,,101000,101000,0.011474639,3.78146E-40,1.469372E-39,150,6,15,3000,0.1,0,0,32,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,52,4626,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100020,,101000,101000,0.011474643,3.78146E-40,2.387727E-39,150,6,15,3000,0.1,0,0,19,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3849,7710,0,16840,1,2,36,5898,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,259,2,0,150,-
10100021,,101000,101000,0.011474647,3.78146E-40,2.295892E-39,150,6,15,3000,0.1,0,0,20,0,0,0,30,25,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,40,5903,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100080,,101000,101000,0.011474647,3.78146E-40,2.295892E-39,150,6,15,3000,0.1,0,0,20,0,0,0,30,25,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,40,5903,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100100,,101000,101010,0.011474647,3.78146E-40,2.295892E-39,150,6,15,3007,0.1,0,0,20,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,40,5903,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100101,,101000,101010,0.011474651,3.78146E-40,1.836714E-39,150,6,15,3007,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3855,7710,0,16840,1,2,45,4626,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100102,,101000,101010,0.011474656,3.78146E-40,9.18359E-40,150,6,15,3007,0.1,0,0,50,0,0,0,64,48,8,9,9,16,0,17174,50,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,70,4620,1.296501E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100103,,101000,101010,0.011474637,3.78146E-40,1.561208E-39,150,6,15,3007,0.1,0,0,30,0,0,0,64,48,8,9,9,16,0,17174,30,0,0,100,34,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,50,4620,1.296501E-39,2E-44,0,0,136,65,0,0,200,65,0,4,4,2,1,0,0,1,2,0,150,-
10100104,,101000,101010,0.011474633,3.78146E-40,2.295892E-39,150,6,15,3007,0.1,0,0,20,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,7710,0,16840,1,2,40,4620,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100105,,101000,101010,0.011474624,3.70223E-40,2.846905E-39,150,6,15,3007,0.1,0,0,16,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,3850,2056,0,16840,1,2,36,4620,1.288578E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
10100106,,101000,101010,0.011474633,3.78146E-40,1.836714E-39,150,6,15,3007,0.1,0,0,25,0,0,0,64,48,8,9,9,16,0,17174,12,0,0,100,34,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,00-00-00,4633,7710,0,16840,1,2,45,5662,1.296501E-39,2E-44,0,0,22,67,0,0,200,65,0,4,4,2,3,0,0,3,2,0,150,-
