#RoleParam=ROLE_PARAM_ST
ID,Name,TeamType - TeamType - u8,pad1 - pad1 - dummy8,PhantomParamId0 - PhantomParamId0 - s32,SpEffectId0 - SpEffectId0 - s32,SpEffectId1 - SpEffectId1 - s32,SpEffectId2 - SpEffectId2 - s32,SpEffectId3 - SpEffectId3 - s32,SpEffectId4 - SpEffectId4 - s32,SpEffectId5 - SpEffectId5 - s32,SpEffectId6 - SpEffectId6 - s32,SpEffectId7 - SpEffectId7 - s32,SpEffectId8 - SpEffectId8 - s32,SpEffectId9 - SpEffectId9 - s32,SfxId0 - SfxId0 - s32,SfxId1 - SfxId1 - s32,StayAnimId - StayAnimId - s32,ItemLotId - ItemLotId - s32,spEffectCondition - spEffectCondition - u8,IsDisplayTeamName [ON_OFF] - IsDisplayTeamName [ON_OFF] - u8,pad2 - pad2 - dummy8,TextId - TextId - s32,subTeamType - subTeamType - s32,PhantomParamId1 - PhantomParamId1 - s32,PhantomParamId2 - PhantomParamId2 - s32,PhantomParamId3 - PhantomParamId3 - s32,spEffect10 - spEffect10 - s32,spEffect11 - spEffect11 - s32,spEffect12 - spEffect12 - s32,spEffect13 - spEffect13 - s32,PhantomParamIdForDebug - PhantomParamIdForDebug - s32,pad3 - pad3 - dummy8
14,,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,-,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
10001,,2,-,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5550,0,1,-,331111,2,83,84,84,-1,-1,-1,-1,-1,-
10002,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,-,0,19,81,81,81,-1,-1,-1,-1,-1,-
20001,,2,-,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30021,30020,63020,5030,1,1,-,331121,2,85,85,85,-1,-1,-1,-1,185,-
20002,,16,-,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30031,30030,63020,5030,0,2,-,331122,19,86,86,86,-1,-1,-1,-1,186,-
30001,,31,-,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30041,30040,63010,5020,0,1,-,331131,31,88,88,88,-1,-1,-1,-1,187,-
30002,,32,-,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30051,30050,63010,5020,0,2,-,331132,20,88,88,88,-1,-1,-1,-1,187,-
40001,,2,-,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30061,30060,63010,-1,0,1,-,331141,2,80,80,80,-1,-1,-1,-1,-1,-
40002,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,-,331142,19,81,81,81,-1,-1,-1,-1,-1,-
50001,,2,-,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,-,331101,2,80,80,80,-1,-1,-1,-1,-1,-
50002,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,-,331146,19,81,81,81,-1,-1,-1,-1,-1,-
60001,,2,-,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,-1,0,1,-,0,2,91,91,91,-1,-1,-1,-1,-1,-
60002,,17,-,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5580,0,2,-,331143,21,91,91,91,-1,-1,-1,-1,-1,-
70001,,2,-,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,-1,1,1,-,0,2,91,91,91,-1,-1,-1,-1,-1,-
70002,,18,-,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5600,0,2,-,331144,22,91,91,91,-1,-1,-1,-1,-1,-
80001,,2,-,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,-,331101,2,80,80,80,-1,-1,-1,-1,-1,-
80002,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,-,331102,19,81,81,81,-1,-1,-1,-1,-1,-
90001,,2,-,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5550,0,1,-,331112,2,82,82,82,-1,-1,-1,-1,-1,-
90002,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,-,0,19,81,81,81,-1,-1,-1,-1,-1,-
