#SwordArtsParam=SWORD_ARTS_PARAM_ST
ID,Name,ActionId [0-36] - ActionId [0-36] - u8,ActionCorrection - ActionCorrection - u8,ReserveArtPointType [0-3] - ReserveArtPointType [0-3] - u8,UnusedField - UnusedField - u8,reserveArtsPoint0 - reserveArtsPoint0 - s8,reserveArtsPoint1 - reserveArtsPoint1 - s8,reserveArtsPoint2 - reserveArtsPoint2 - s8,reserveArtsPoint3 - reserveArtsPoint3 - s8,DebugTextId - DebugTextId - s32,subFPCost - subFPCost - s16,FPCost - FPCost - s16,FPCostLight - FPCostLight - s16,FpCostStrong - FpCostStrong - s16,ShieldCategory [0-4] - ShieldCategory [0-4] - u8,pad1 - pad1 - dummy8
400,,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,15,0,-
401,,22,2,1,2,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
402,,13,0,1,2,-1,-1,-1,-1,70008,-1,13,-1,13,0,-
403,,2,2,1,2,-1,-1,-1,-1,70055,-1,10,-1,17,0,-
404,,2,2,1,2,-1,-1,-1,-1,70037,-1,10,-1,18,0,-
405,,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,20,0,-
406,,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,16,0,-
407,,2,2,1,2,-1,-1,-1,-1,70010,-1,10,-1,18,0,-
500,,4,2,1,2,-1,-1,-1,-1,70002,-1,0,15,15,0,-
501,,22,2,1,2,-1,-1,-1,-1,70014,-1,14,-1,-1,0,-
502,,24,2,1,2,-1,-1,-1,-1,70036,-1,12,-1,8,0,-
600,,11,2,1,2,-1,-1,-1,-1,70005,-1,6,-1,12,0,-
601,,22,2,1,2,-1,-1,-1,-1,70051,-1,15,-1,-1,0,-
602,,11,2,1,2,-1,-1,-1,-1,70070,-1,7,-1,15,0,-
603,,11,2,1,2,-1,-1,-1,-1,70072,-1,8,-1,14,0,-
604,,11,2,1,2,-1,-1,-1,-1,70005,-1,5,-1,12,0,-
605,,11,2,1,2,-1,-1,-1,-1,70005,-1,4,-1,12,0,-
606,,11,2,1,2,-1,-1,-1,-1,70065,-1,5,-1,15,0,-
700,,11,1,1,2,-1,-1,-1,-1,70005,-1,9,-1,15,0,-
701,,11,1,1,2,-1,-1,-1,-1,70074,-1,10,-1,15,0,-
702,,11,1,1,2,-1,-1,-1,-1,70005,-1,9,-1,13,0,-
703,,11,1,1,2,-1,-1,-1,-1,70005,-1,12,-1,13,0,-
800,,4,2,1,2,-1,-1,-1,-1,70017,-1,0,17,5,0,-
801,,22,2,1,2,-1,-1,-1,-1,70052,-1,10,-1,-1,0,-
802,,4,2,1,2,-1,-1,-1,-1,70017,-1,0,22,8,0,-
803,,13,2,1,2,-1,-1,-1,-1,70040,-1,20,-1,-1,0,-
900,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
901,,22,2,1,2,-1,-1,-1,-1,70025,-1,18,-1,-1,0,-
902,,22,2,1,2,-1,-1,-1,-1,70058,-1,24,-1,-1,0,-
903,,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
1000,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1001,,22,2,1,2,-1,-1,-1,-1,0,-1,35,-1,-1,0,-
1002,,22,2,1,2,-1,-1,-1,-1,70032,-1,35,-1,-1,0,-
1003,,22,2,1,2,-1,-1,-1,-1,70029,-1,35,-1,-1,0,-
1004,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1005,,22,2,1,2,-1,-1,-1,-1,70025,-1,20,-1,-1,0,-
1100,,14,2,1,2,-1,-1,-1,-1,70009,-1,9,-1,-1,0,-
1101,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1102,,16,2,1,1,-1,-1,-1,-1,70007,-1,9,-1,-1,0,-
1103,,14,2,1,2,-1,-1,-1,-1,70021,-1,9,-1,-1,0,-
1200,,14,2,1,2,-1,-1,-1,-1,70009,-1,12,-1,-1,0,-
1201,,14,2,1,2,-1,-1,-1,-1,70046,-1,12,-1,15,0,-
1202,,14,2,1,2,-1,-1,-1,-1,70063,-1,12,-1,15,0,-
1203,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1204,,14,2,1,2,-1,-1,-1,-1,70035,-1,50,-1,-1,0,-
1205,,11,1,1,2,-1,-1,-1,-1,70018,-1,13,-1,10,0,-
1206,,14,2,1,2,-1,-1,-1,-1,70021,-1,11,-1,-1,0,-
1300,,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1301,,22,2,1,2,-1,-1,-1,-1,70029,-1,20,-1,-1,0,-
1302,,22,2,1,2,-1,-1,-1,-1,70066,-1,25,-1,-1,0,-
1303,,13,2,1,2,-1,-1,-1,-1,70014,-1,16,-1,-1,0,-
1304,,16,0,1,1,-1,-1,-1,-1,70007,-1,9,-1,-1,0,-
1305,,22,2,1,2,-1,-1,-1,-1,70030,-1,25,-1,-1,0,-
1306,,13,2,1,2,-1,-1,-1,-1,70008,-1,15,-1,15,0,-
1307,,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1308,,13,2,1,2,-1,-1,-1,-1,70068,-1,17,-1,12,0,-
1309,,13,2,1,2,-1,-1,-1,-1,70062,-1,13,-1,15,0,-
1310,,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1311,,11,1,1,2,-1,-1,-1,-1,70016,-1,11,-1,11,0,-
1400,,11,1,1,2,-1,-1,-1,-1,70016,-1,8,-1,14,0,-
1401,,11,1,1,2,-1,-1,-1,-1,70031,-1,10,-1,12,0,-
1402,,13,2,1,2,-1,-1,-1,-1,70042,-1,15,-1,15,0,-
1403,,22,2,1,2,-1,-1,-1,-1,0,-1,30,-1,-1,0,-
1404,,22,2,1,2,-1,-1,-1,-1,70045,-1,20,-1,-1,0,-
1405,,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1406,,13,2,1,2,-1,-1,-1,-1,70008,-1,15,-1,13,0,-
1407,,14,2,1,2,-1,-1,-1,-1,70009,-1,11,-1,-1,0,-
1500,,21,2,1,2,-1,-1,-1,-1,70024,-1,13,-1,-1,0,-
1501,,22,2,1,2,-1,-1,-1,-1,0,-1,20,-1,-1,0,-
1502,,22,2,1,2,-1,-1,-1,-1,70071,-1,15,-1,-1,0,-
1503,,22,2,1,2,-1,-1,-1,-1,0,-1,13,-1,-1,0,-
1600,,24,2,1,2,-1,-1,-1,-1,70019,-1,14,-1,-1,0,-
1601,,24,2,1,2,-1,-1,-1,-1,70044,-1,18,-1,-1,0,-
1700,,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
1701,,11,1,1,2,-1,-1,-1,-1,70043,-1,10,-1,10,0,-
1702,,23,2,1,2,-1,-1,-1,-1,70050,-1,18,-1,-1,0,-
1703,,14,2,1,2,-1,-1,-1,-1,70009,-1,7,-1,-1,0,-
1800,,21,2,1,2,-1,-1,-1,-1,70034,-1,10,-1,-1,0,-
1801,,22,2,1,2,-1,-1,-1,-1,70011,-1,13,-1,-1,0,-
1802,,18,1,1,2,-1,-1,-1,-1,70011,-1,4,-1,-1,0,-
1900,,8,2,1,1,-1,-1,-1,-1,70020,-1,0,4,4,0,-
1901,,26,2,1,1,-1,-1,-1,-1,70022,-1,0,9,9,0,-
1902,,29,2,1,1,-1,-1,-1,-1,70033,-1,0,7,7,0,-
1903,,26,2,1,1,-1,-1,-1,-1,70039,-1,0,10,10,0,-
2000,,19,2,1,1,-1,-1,-1,-1,70047,-1,0,20,20,0,-
2001,,19,2,1,1,-1,-1,-1,-1,70047,-1,0,17,17,0,-
2101,,22,2,1,2,-1,-1,-1,-1,70012,-1,7,-1,-1,0,-
2102,,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
2200,,16,2,1,1,-1,-1,-1,-1,70007,-1,7,-1,-1,0,-
2201,,16,2,1,1,-1,-1,-1,-1,70007,-1,30,-1,-1,0,-
2202,,16,2,1,1,-1,-1,-1,-1,70064,-1,20,-1,-1,0,-
2203,,16,2,1,1,-1,-1,-1,-1,70007,-1,15,-1,-1,0,-
2300,,27,2,1,1,-1,-1,-1,-1,70015,-1,8,-1,-1,0,-
2301,,16,2,1,1,-1,-1,-1,-1,70013,-1,13,-1,-1,0,-
2302,,23,2,1,2,-1,-1,-1,-1,70027,-1,11,-1,-1,0,-
2303,,17,2,1,1,-1,-1,-1,-1,70015,-1,8,-1,-1,0,-
2304,,28,2,1,1,-1,-1,-1,-1,70015,-1,9,-1,-1,0,-
2400,,23,2,1,2,-1,-1,-1,-1,70027,-1,12,-1,-1,0,-
2500,,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
2600,,11,2,1,2,-1,-1,-1,-1,70005,-1,5,-1,17,0,-
2700,,11,1,1,2,-1,-1,-1,-1,70005,-1,4,-1,12,0,-
2701,,11,1,1,2,-1,-1,-1,-1,70005,-1,7,-1,9,0,-
2710,,11,1,1,2,-1,-1,-1,-1,0,-1,10,-1,10,0,-
2720,,11,1,1,2,-1,-1,-1,-1,70067,-1,6,-1,9,0,-
2800,,21,2,1,2,-1,-1,-1,-1,70049,-1,20,-1,-1,0,-
2900,,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
3000,,11,1,1,2,-1,-1,-1,-1,70031,-1,8,-1,10,0,-
3100,,11,2,1,2,-1,-1,-1,-1,70018,-1,7,-1,15,0,-
3200,,23,2,1,2,-1,-1,-1,-1,70004,-1,14,-1,-1,3,-
3201,,23,2,1,2,-1,-1,-1,-1,70057,-1,-1,-1,-1,0,-
3300,,23,2,1,2,-1,-1,-1,-1,70004,-1,16,-1,-1,3,-
3301,,23,2,1,2,-1,-1,-1,-1,70075,-1,10,-1,-1,0,-
3310,,23,2,1,2,-1,-1,-1,-1,70048,-1,16,-1,-1,0,-
3320,,23,2,1,2,-1,-1,-1,-1,70041,-1,14,-1,-1,0,-
3400,,23,2,1,2,-1,-1,-1,-1,70004,-1,12,-1,-1,3,-
