#LodParam_xb1=LOD_BANK_ST
ID,Name,lv01_BorderDist - lv01_BorderDist - f32,lv01_PlayDist - lv01_PlayDist - f32,lv12_BorderDist - lv12_BorderDist - f32,lv12_PlayDist - lv12_PlayDist - f32,textureLod - textureLod - u8,pad1 - pad1 - dummy8,lv23_BorderDist - lv23_BorderDist - f32,lv23_PlayDist - lv23_PlayDist - f32,lv34_BorderDist - lv34_BorderDist - f32,lv34_PlayDist - lv34_PlayDist - f32,lv45_BorderDist - lv45_BorderDist - f32,lv45_PlayDist - lv45_PlayDist - f32,DistanceScaleId [0-255] - DistanceScaleId [0-255] - u8,UseExtraLayer - UseExtraLayer - u8,pad2 - pad2 - dummy8,ExtraBorderDist - ExtraBorderDist - f32,pad3 - pad3 - dummy8
33,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
34,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
35,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
36,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
37,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
38,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
39,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
40,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
41,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
42,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
43,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
44,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
45,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
46,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
47,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
48,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
49,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
50,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
51,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
52,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
53,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
54,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
55,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
56,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
57,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
58,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
59,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
60,,40,1,1000,2,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
61,,9998,10,9999,10,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
62,,0,0,0,0,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
63,,9998,10,9999,10,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
