#MapPartsParam=MAP_PARTS_PARAM_ST
ID,Name,MapPartFloat1 - MapPartFloat1 - f32,MapPartFloat2 - MapPartFloat2 - f32,pad1 - pad1 - dummy8
150002021,,0.75,4.75,-
150002024,,0.75,4.75,-
150002082,,0.75,4.75,-
150002261,,0.75,4.75,-
150002900,,0.75,4.75,-
150002910,,0.75,4.75,-
150002970,,0.75,4.75,-
150002980,,0.75,4.75,-
150002990,,0.75,4.75,-
150003250,,0.75,4.75,-
150106000,,0.75,4.75,-
150106060,,0.75,4.75,-
150106100,,0.75,4.75,-
150106200,,0.75,4.75,-
150106260,,0.75,4.75,-
150106500,,0.75,4.75,-
150123000,,0.75,4.75,-
150150011,,0.75,4.75,-
150153001,,0.75,4.75,-
150162103,,0.75,4.75,-
150240300,,0.75,4.75,-
150242008,,0.75,4.75,-
150242009,,0.75,4.75,-
150242011,,0.75,4.75,-
150242400,,0.75,4.75,-
150250011,,0.75,4.75,-
150300401,,0.75,4.75,-
150602000,,0.75,4.75,-
150602003,,0.75,4.75,-
150602010,,0.75,4.75,-
150602013,,0.75,4.75,-
150602101,,0.75,4.75,-
170000260,,0.75,2.75,-
170001000,,0.75,4.75,-
170001010,,0.75,4.75,-
170001020,,0.75,4.75,-
170001030,,0.75,4.75,-
170001180,,0.75,4.75,-
170001140,,0.75,4.75,-
170001150,,0.75,4.75,-
170001160,,0.75,4.75,-
170001190,,0.75,4.75,-
170001310,,0.75,4.75,-
170001311,,0.75,4.75,-
170001320,,0.75,4.75,-
170001321,,0.75,4.75,-
170001322,,0.75,4.75,-
170001410,,0.75,4.75,-
170001420,,0.75,4.75,-
170001430,,0.75,4.75,-
170001470,,0.75,4.75,-
170001480,,0.75,4.75,-
170001500,,0.75,4.75,-
170001510,,0.75,4.75,-
170001520,,0.75,4.75,-
170003100,,0.75,3.5,-
170003110,,0.75,3.5,-
170003120,,0.75,3.5,-
170006150,,0.75,4.75,-
170006151,,0.75,4.75,-
170006152,,0.75,4.75,-
170207501,,0.75,4.75,-
170207620,,0.75,4.75,-
170207800,,0.75,4.75,-
170212000,,0.75,4.75,-
170212100,,0.75,4.75,-
170212101,,0.75,4.75,-
170212110,,0.75,4.75,-
170212111,,0.75,4.75,-
170212120,,0.75,4.75,-
170212121,,0.75,4.75,-
170300001,,0.75,4.75,-
170300101,,0.75,4.75,-
170300201,,0.75,4.75,-
170300301,,0.75,4.75,-
170300401,,0.75,4.75,-
170301001,,0.75,4.75,-
170419200,,0.75,4.75,-
170808100,,0.75,4.75,-
170808200,,0.75,4.75,-
200000250,,0.75,4.75,-
200001000,,0.75,4.75,-
200001050,,0.75,4.75,-
200001051,,0.75,4.75,-
200001803,,0.75,4.75,-
200001804,,0.75,4.75,-
200002113,,0.75,4.75,-
200002401,,0.75,4.75,-
200002501,,0.75,4.75,-
200002802,,0.75,1.5,-
200002803,,0.75,1.5,-
200102002,,0.75,4.75,-
200102041,,0.75,4.75,-
200122012,,0.75,4.75,-
200132023,,0.75,4.75,-
200132026,,0.75,4.75,-
200132201,,0.75,1.5,-
200212112,,0.75,4.75,-
200212121,,0.75,4.75,-
200312006,,0.75,4.75,-
200312013,,0.75,4.75,-
200312030,,0.75,4.75,-
200312031,,0.75,4.75,-
200312607,,0.75,1.5,-
200322001,,0.75,1.5,-
200402023,,0.75,4.75,-
200402024,,0.75,4.75,-
200482109,,0.75,4.75,-
200482112,,0.75,4.75,-
200482113,,0.75,4.75,-
200402400,,0.75,1.5,-
200402401,,0.75,1.5,-
200402402,,0.75,1.5,-
200402403,,0.75,1.5,-
200402404,,0.75,1.5,-
200402405,,0.75,1.5,-
200402406,,0.75,1.5,-
200402410,,0.75,1.5,-
200450011,,0.75,4.75,-
200602011,,0.75,4.75,-
200502001,,0.75,4.75,-
200502011,,0.75,4.75,-
200600060,,0.75,4.75,-
200802116,,0.75,4.75,-
200802131,,0.75,4.75,-
200802121,,0.75,4.75,-
200802122,,0.75,4.75,-
200802123,,0.75,4.75,-
200802127,,0.75,4.75,-
200802403,,0.75,1.5,-
200802404,,0.75,1.5,-
200802592,,0.75,4.75,-
200810111,,0.75,4.75,-
200820111,,0.75,4.75,-
200830111,,0.75,4.75,-
200840110,,0.75,4.75,-
200860111,,0.75,4.75,-
250001525,,0.75,4.75,-
250001545,,0.75,4.75,-
250002023,,0.75,1.5,-
250002024,,0.75,4.75,-
250002026,,0.75,4.75,-
250002027,,0.75,1.5,-
250002028,,0.75,1.5,-
250002032,,0.75,1.5,-
250002033,,0.75,4.75,-
250002041,,0.75,4.75,-
250002112,,0.75,4.75,-
250002121,,0.75,4.75,-
250002131,,0.75,1.5,-
250002140,,0.75,4.75,-
250002151,,0.75,4.75,-
250002161,,0.75,4.75,-
250002172,,0.75,4.75,-
250002181,,0.75,4.75,-
250002192,,0.75,4.75,-
250002193,,0.75,4.75,-
250002206,,0.75,4.75,-
250002207,,0.75,1.5,-
250002213,,0.75,4.75,-
250002224,,0.75,4.75,-
250002227,,0.75,4.75,-
250002231,,0.75,4.75,-
250002261,,0.75,4.75,-
250002271,,0.75,4.75,-
250002301,,0.75,1.5,-
250002321,,0.75,4.75,-
250002409,,0.75,4.75,-
250002457,,0.75,4.75,-
250002506,,0.75,1.5,-
250002693,,0.75,4.75,-
250002696,,0.75,4.75,-
250002711,,0.75,1.5,-
250002712,,0.75,4.75,-
250002715,,0.75,1.5,-
250002722,,0.75,4.75,-
250002760,,0.75,1.5,-
250002800,,0.75,1.5,-
250002801,,0.75,1.5,-
250002802,,0.75,1.5,-
250002803,,0.75,1.5,-
250002810,,0.75,1.5,-
250002820,,0.75,1.5,-
250002830,,0.75,4.75,-
250002840,,0.75,1.5,-
250002841,,0.75,1.5,-
250002850,,0.75,1.5,-
250002912,,0.75,1.5,-
250003204,,0.75,4.75,-
250003211,,0.75,4.75,-
250003213,,0.75,4.75,-
250003223,,0.75,4.75,-
250003225,,0.75,4.75,-
250003226,,0.75,4.75,-
250003231,,0.75,4.75,-
250003331,,0.75,1.5,-
250003341,,0.75,1.5,-
250003602,,0.75,4.75,-
250003801,,0.75,1.5,-
250004350,,0.75,4.75,-
250004370,,0.75,4.75,-
250006001,,0.75,1.5,-
250006011,,0.75,1.5,-
250006022,,0.75,1.5,-
250006023,,0.75,1.5,-
250006031,,0.75,4.75,-
250006041,,0.75,4.75,-
250006051,,0.75,4.75,-
250006060,,0.75,4.75,-
250006061,,0.75,4.75,-
250006070,,0.75,4.75,-
250006072,,0.75,4.75,-
250006081,,0.75,4.75,-
250006101,,0.75,1.5,-
250006102,,0.75,4.75,-
250006103,,0.75,4.75,-
250006111,,0.75,4.75,-
250006121,,0.75,4.75,-
250006201,,0.75,4.75,-
250006202,,0.75,1.5,-
250006301,,0.75,4.75,-
250006302,,0.75,4.75,-
250006311,,0.75,4.75,-
250006312,,0.75,4.75,-
250006401,,0.75,4.75,-
250006402,,0.75,4.75,-
250006501,,0.75,4.75,-
250006601,,0.75,4.75,-
250006701,,0.75,1.5,-
250006800,,0.75,4.75,-
250006810,,0.75,4.75,-
250006820,,0.75,4.75,-
250006830,,0.75,4.75,-
250006850,,0.75,4.75,-
250006851,,0.75,4.75,-
250006852,,0.75,4.75,-
250006853,,0.75,4.75,-
250006854,,0.75,4.75,-
250006855,,0.75,4.75,-
250006860,,0.75,4.75,-
250006870,,0.75,4.75,-
250006880,,0.75,4.75,-
250007001,,0.75,1.5,-
250007101,,0.75,1.5,-
250007302,,0.75,4.75,-
250007411,,0.75,4.75,-
250007681,,0.75,4.75,-
250401001,,0.75,4.75,-
250402001,,0.75,4.75,-
250404001,,0.75,4.75,-
251001525,,0.75,4.75,-
251001545,,0.75,4.75,-
251002409,,0.75,4.75,-
251002693,,0.75,4.75,-
251002760,,0.5,1.25,-
250905100,,37,40,-
250925160,,87,90,-
250925130,,60,85,-
250925139,,77,80,-
250925180,,27,30,-
250925184,,37,40,-
250925185,,37,40,-
250925189,,77,80,-
