#ThrowKindParam=THROW_KIND_PARAM_ST
ID,Name,Unk1 - Unk1 - s32,Unk2 - Unk2 - s32,Unk3 - Unk3 - s32,ThrowState - ThrowState - u8,Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,State1 - State1 - u8,State2 - State2 - u8,Unk6 - Unk6 - u8,DisableArmStyleCheck [ON_OFF] - DisableArmStyleCheck [ON_OFF] - u8,Unk7 - Unk7 - u8,Mask1 - Mask1 - u8,Mask2 - Mask2 - u8,Mask3 - Mask3 - u8,Mask4 - Mask4 - u8,GoodsParamId - GoodsParamId - s32,Mask5 - Mask5 - u8,Mask6 - Mask6 - u8,Mask7 - Mask7 - u8,Mask8 - Mask8 - u8
120000,,0,800020,100000000,0,0,0,0,12,100,0,0,0,0,5,255,-1,255,0,0,0
130000,,0,800000,100000000,0,0,0,0,13,1,0,1,0,0,5,255,-1,255,0,0,0
130100,,0,-1,130000,0,1,255,1,13,1,0,0,0,0,5,255,-1,255,0,0,0
130200,,0,800000,130100,0,0,0,1,13,1,0,0,0,0,5,255,-1,255,0,0,0
160000,,0,800000,100000000,0,0,0,0,14,0,0,1,0,0,5,255,-1,255,0,0,0
160100,,0,-1,160000,0,1,255,1,14,0,0,0,0,0,5,255,-1,255,0,0,0
170000,,0,800000,100000000,0,5,255,0,3,1,0,0,0,0,5,255,-1,255,0,0,0
180000,,0,800000,100000000,0,0,0,0,15,0,0,1,0,0,5,255,-1,255,0,0,0
180100,,0,-1,180000,0,1,255,1,15,0,0,0,0,0,5,255,-1,255,0,0,0
180900,,0,800000,180100,0,0,0,1,15,0,0,0,0,2,5,255,-1,255,0,0,0
190000,,0,800000,100000000,0,0,0,0,16,0,0,0,1,0,5,255,-1,255,0,0,0
190100,,0,-1,190000,0,1,255,1,16,0,0,0,0,0,5,255,-1,255,0,0,0
200000,,0,-1,100000000,0,0,1,0,20,3,0,0,1,1,5,13,-1,255,0,0,0
200010,,0,-1,200000,0,1,255,1,20,3,0,0,0,0,5,255,-1,255,0,0,0
210000,,0,800000,100000000,0,0,0,0,17,1,0,0,1,0,5,255,-1,255,0,0,0
210010,,0,-1,210000,0,1,255,1,17,1,0,0,0,0,5,255,-1,255,0,0,0
220000,,0,800000,100000000,0,0,0,0,18,1,0,0,1,0,5,255,-1,255,0,0,0
220010,,0,-1,220000,0,1,255,1,18,1,0,0,0,0,5,255,-1,255,0,0,0
230000,,0,800000,100000000,0,0,0,0,19,0,0,0,1,0,5,255,-1,255,0,0,0
230010,,0,-1,230000,0,1,255,1,19,0,0,0,0,0,5,255,-1,255,0,0,0
240000,,0,-1,100000000,0,0,1,0,20,4,0,0,1,2,5,13,-1,255,0,0,0
240010,,0,-1,240000,0,1,255,1,20,4,0,0,0,0,5,255,-1,255,0,0,0
250000,,0,800000,100000000,0,0,0,0,5,0,0,0,0,0,5,3,-1,255,0,0,0
250100,,0,800000,250000,0,0,0,1,5,0,0,0,0,0,5,3,-1,255,0,0,0
260000,,0,800000,100000000,0,0,0,0,21,0,0,0,1,0,5,255,-1,255,0,0,0
260010,,0,-1,260000,0,1,255,1,21,0,0,0,0,0,5,255,-1,255,0,0,0
270000,,0,800000,100000000,0,0,0,0,4,1,0,0,1,0,5,255,-1,255,0,0,0
270100,,0,-1,270000,0,1,255,1,4,1,0,0,0,0,5,255,-1,255,0,0,0
270900,,0,800000,270100,0,0,0,1,4,1,0,0,0,2,5,255,-1,255,0,0,0
500000,,0,800000,100000000,1,0,0,0,0,10,0,0,1,0,5,255,-1,255,0,0,0
500100,,0,-1,500000,0,1,255,1,0,10,0,0,0,0,5,255,-1,255,0,0,0
500201,,0,800010,500100,0,0,0,1,0,10,0,0,0,2,5,255,2100,255,0,0,0
500202,,0,800010,500100,0,0,0,1,0,10,0,0,0,2,5,255,2110,255,0,0,0
500203,,0,800010,500100,0,0,0,1,0,10,0,0,0,2,5,255,2120,255,0,0,0
540000,,0,800000,100000000,1,0,0,0,4,1,0,0,1,0,5,255,-1,255,0,0,0
540100,,0,-1,540000,0,1,255,1,4,1,0,0,0,0,5,255,-1,255,0,0,0
540900,,0,800000,540100,0,0,0,1,4,1,0,0,0,2,5,255,-1,255,0,0,0
541000,,0,800000,100000000,1,0,0,0,4,0,0,0,1,0,5,255,-1,255,0,0,0
541100,,0,-1,541000,0,1,255,1,4,0,0,0,0,0,5,255,-1,255,0,0,0
541201,,0,800010,541100,0,0,0,1,4,0,0,0,0,2,5,255,2100,255,0,0,0
541202,,0,800010,541100,0,0,0,1,4,0,0,0,0,2,5,255,2110,255,0,0,0
541203,,0,800010,541100,0,0,0,1,4,0,0,0,0,2,5,255,2120,255,0,0,0
541900,,0,800000,541100,0,0,0,1,4,0,0,0,0,0,5,255,-1,255,0,0,0
570000,,0,800000,100000000,1,0,0,0,6,3,0,1,0,0,5,255,-1,255,0,0,0
570100,,0,-1,570000,0,1,255,1,6,3,0,0,0,0,5,255,-1,255,0,0,0
570900,,0,800000,570100,0,0,0,1,6,3,0,0,0,0,5,255,-1,255,0,0,0
630000,,0,800000,100000000,1,0,0,0,13,1,0,1,0,0,5,255,-1,255,0,0,0
630100,,0,-1,630000,0,1,255,1,13,1,0,0,0,0,5,255,-1,255,0,0,0
630200,,0,800000,630100,0,0,0,1,13,1,0,0,0,0,5,255,-1,255,0,0,0
660000,,0,800000,100000000,1,0,0,0,14,0,0,1,0,0,5,255,-1,255,0,0,0
660100,,0,-1,660000,0,1,255,1,14,0,0,0,0,0,5,255,-1,255,0,0,0
1000000,,0,-1,100000000,0,4,255,0,100,0,1,0,0,0,255,255,-1,255,0,0,0
1000010,,1,-1,100000000,0,4,255,0,100,0,1,0,0,0,255,255,-1,255,0,0,0
1000020,,2,-1,100000000,0,4,255,0,100,0,1,0,0,0,255,255,-1,255,0,0,0
1000030,,3,-1,100000000,0,4,255,0,100,0,1,0,0,0,255,255,-1,255,0,0,0
1000040,,4,-1,100000000,0,4,255,0,100,0,1,0,0,0,255,255,-1,255,0,0,0
1000100,,0,-1,100000000,0,4,255,0,101,0,1,0,0,0,255,255,-1,255,0,0,0
1000110,,1,-1,100000000,0,4,255,0,101,0,1,0,0,0,255,255,-1,255,0,0,0
1000120,,2,-1,100000000,0,4,255,0,101,0,1,0,0,0,255,255,-1,255,0,0,0
1000130,,3,-1,100000000,0,4,255,0,101,0,1,0,0,0,255,255,-1,255,0,0,0
1000140,,4,-1,100000000,0,4,255,0,101,0,1,0,0,0,255,255,-1,255,0,0,0
100000000,,0,0,100000000,0,1,255,1,0,0,0,0,0,0,255,255,-1,255,0,0,0
