#ObjActParam=OBJ_ACT_PARAM_ST
ID,Name,actionEnableMsgId - actionEnableMsgId - s32,actionFailedMsgId - actionFailedMsgId - s32,spQualifiedPassEventFlag - spQualifiedPassEventFlag - s32,playerAnimId - playerAnimId - s32,chrAnimId - chrAnimId - s32,validDist - validDist - s16,spQualifiedId - spQualifiedId - s16,spQualifiedId2 - spQualifiedId2 - s16,ObjDummyId - ObjDummyId - u8,pad1 - pad1 - dummy8,ObjAnimId - ObjAnimId - s32,ValidPlayerAngle - ValidPlayerAngle - u8,spQualifiedType - spQualifiedType - u8,spQualifiedType2 - spQualifiedType2 - u8,ValidObjAngle - ValidObjAngle - u8,ChrSorbType - ChrSorbType - u8,eventKickTiming - eventKickTiming - u8,pad2 - pad2 - dummy8,actionButtonParamId - actionButtonParamId - s32,actionSuccessMsgId - actionSuccessMsgId - s32
390300,,10010400,-1,-1,60000,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
390301,,10010400,-1,-1,60370,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
390302,,10010400,-1,-1,60370,7120,70,0,0,121,-,0,60,0,0,60,0,1,-,7101,0
390305,,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7200,0
390306,,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
390310,,10010400,10010163,-1,60000,14000,70,2008,0,121,-,0,60,1,0,60,0,1,-,7101,0
390320,,10010400,10010163,-1,60000,14000,70,2007,0,121,-,0,60,1,0,60,0,1,-,7101,0
390330,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
390340,,10010400,10010163,-1,60002,7120,70,2012,0,120,-,0,60,1,0,60,0,1,-,7100,0
390350,,10010400,10010163,-1,60370,7120,70,2008,0,121,-,0,60,1,0,60,0,1,-,7201,0
390360,,10010400,10010163,-1,60370,7120,70,2008,0,120,-,0,60,1,0,60,0,1,-,7200,0
390500,,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
400005,,10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
400340,,10010400,10010161,-1,60000,7120,70,0,0,121,-,0,60,0,0,60,0,1,-,7101,0
400510,,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
10000,,10010500,-1,-1,60200,7100,150,0,0,191,-,1,60,0,0,30,0,0,-,-1,0
1300311,,10010400,10010163,-1,60002,14000,70,2300,4150,120,-,1,60,1,2,60,0,1,-,7100,0
2300311,,10010400,10010163,-1,60000,14000,70,2300,4150,121,-,1,60,1,2,60,0,1,-,8920,0
1000370,,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
1000371,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
1314027,,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
1324051,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
1400340,,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
2400340,,10010400,10010161,-1,60000,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
3400340,,10010400,10010163,-1,60000,7120,70,2013,2015,121,-,0,60,1,1,60,0,1,-,7101,0
90000,,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
90001,,10010400,10010163,-1,60040,7120,70,2001,2100,120,-,1,60,1,1,60,0,1,-,7100,0
90002,,10010400,10010161,-1,60030,7120,70,4150,0,120,-,1,60,2,0,60,0,1,-,7100,0
90010,,10010400,-1,-1,60000,7110,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
90011,,10010400,10010163,-1,60000,7110,70,2001,2100,120,-,0,60,1,1,60,0,1,-,7100,0
90012,,10010400,10010161,-1,60000,7110,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
90013,,10010400,10010163,-1,60002,14000,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
90014,,10010400,10010163,-1,60030,14000,70,0,0,100,-,1,60,0,0,60,0,1,-,7110,0
90015,,10010400,10010163,-1,60000,14000,70,0,0,121,-,1,60,0,0,60,0,1,-,8920,0
90050,,10010400,-1,-1,0,0,70,0,0,203,-,0,60,0,0,60,0,1,-,9700,0
90051,,10010400,-1,-1,0,0,70,0,0,202,-,0,60,0,0,60,0,1,-,9701,0
90060,,10010400,-1,-1,710400,0,70,0,0,201,-,1,60,0,0,60,0,1,-,-1,0
90061,,10010400,-1,-1,710410,0,70,0,0,203,-,3,60,0,0,60,0,1,-,-1,0
90065,,10010400,-1,-1,710420,0,70,0,0,201,-,11,60,0,0,60,0,1,-,9715,0
90066,,10010400,-1,-1,710430,0,70,0,0,205,-,13,60,0,0,60,0,1,-,9716,0
90070,,10010400,-1,-1,710000,0,0,0,0,100,-,1,0,0,0,0,0,1,-,-1,0
90071,,10010400,-1,-1,710000,0,0,0,0,101,-,1,0,0,0,0,0,1,-,-1,0
90075,,10010400,-1,-1,710000,0,0,0,0,100,-,0,0,0,0,0,0,1,-,-1,0
90076,,10010400,-1,-1,710000,0,0,0,0,101,-,0,0,0,0,0,0,1,-,-1,0
101050,,10010400,-1,-1,700290,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
109950,,10010400,-1,-1,700300,0,70,0,0,121,-,1,60,0,0,60,0,1,-,1000670,0
1100000,,10010400,-1,-1,710800,0,70,0,0,121,-,1,60,0,0,60,0,1,-,1100000,0
205000,,10010400,-1,-1,0,0,70,0,0,120,-,1,60,0,0,60,0,1,-,2000650,0
205010,,10010400,-1,-1,710600,0,70,0,0,191,-,1,60,0,0,60,0,1,-,2000651,0
205011,,10010400,-1,-1,710600,0,70,0,0,191,-,1,60,0,0,60,0,1,-,2000652,0
205100,,10010400,-1,-1,710700,0,70,0,0,200,-,10,60,0,0,60,0,1,-,2000690,0
205101,,10010400,-1,-1,710700,0,70,0,0,200,-,10,60,0,0,60,0,1,-,2000691,0
252555,,10010400,-1,-1,710500,0,70,0,0,200,-,1,60,0,0,60,0,1,-,-1,0
999900,,10010400,-1,-1,700210,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999901,,10010400,-1,-1,700310,0,70,0,0,120,-,1,60,0,0,60,0,1,-,9600,0
999910,,10010400,-1,-1,700230,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999911,,10010400,-1,-1,700230,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999920,,10010400,-1,-1,700280,0,70,0,0,120,-,2,60,0,0,60,0,1,-,9610,0
999921,,10010400,-1,-1,700220,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999922,,10010400,-1,-1,700220,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9601,0
999930,,10010400,-1,-1,700240,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999940,,10010400,-1,-1,700200,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999941,,10010400,-1,-1,700270,0,70,0,0,120,-,2,60,0,0,60,0,1,-,9610,0
999945,,10010400,-1,-1,700200,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999946,,10010400,-1,-1,700200,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999950,,10010400,-1,-1,700240,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9600,0
999960,,10010400,-1,-1,700250,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999970,,10010400,-1,-1,700260,0,70,0,0,120,-,1,60,0,0,60,0,1,-,9600,0
999971,,10010400,-1,-1,700260,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999975,,10010400,-1,-1,700320,0,70,0,0,121,-,1,60,0,0,60,0,1,-,9610,0
999976,,10010400,-1,-1,700330,0,70,0,0,121,-,2,60,0,0,60,0,1,-,9610,0
999980,,10010400,-1,-1,711100,0,70,0,0,110,-,1,60,0,0,60,0,1,-,8010,0
999985,,10010400,-1,-1,711101,0,70,0,0,110,-,1,60,0,0,60,0,1,-,8010,0
999990,,10010400,-1,-1,711110,0,70,0,0,110,-,1,60,0,0,60,0,1,-,8020,0
9620000,,10010400,-1,-1,60070,0,70,0,0,90,-,0,60,0,0,60,1,1,-,4200,0
9620001,,10010400,-1,-1,60070,0,70,0,0,90,-,0,60,0,0,60,1,1,-,4201,0
9990000,,10010400,-1,-1,60080,0,70,0,0,0,-,11,60,0,0,60,1,1,-,-1,0
9990900,,10010400,-1,-1,390900,0,70,0,0,100,-,900,60,0,0,60,1,0,-,-1,0
9991000,,10010400,-1,-1,0,0,70,0,0,100,-,0,60,0,0,60,1,0,-,-1,0
9991001,,10010400,-1,-1,0,0,70,0,0,100,-,900,60,0,0,60,1,0,-,-1,0
9991002,,10010400,-1,-1,0,0,70,0,0,100,-,901,60,0,0,60,1,0,-,-1,0
9991003,,10010400,-1,-1,390004,0,70,0,0,121,-,0,60,0,0,60,0,0,-,9600,0
9991004,,10010400,-1,-1,390004,0,70,0,0,121,-,1,60,0,0,60,0,0,-,9600,0
