#SkillParam=SKILL_PARAM_ST
ID,Name,SkilLDescriptionId - SkilLDescriptionId - s32,EventFlagId - EventFlagId - s32,SkillParamId1_Group1 - SkillParamId1_Group1 - s32,SkillParamId2_Group1 - SkillParamId2_Group1 - s32,SkillParamId3_Group1 - SkillParamId3_Group1 - s32,Unk1 - Unk1 - s32,ReinforceWeaponParamId - ReinforceWeaponParamId - s32,Unk2 - Unk2 - s32,Unk3 - Unk3 - s32,Unk4 - Unk4 - s32,MenuDisplayPositionIndexY - MenuDisplayPositionIndexY - s16,MenuDisplayPositionIndexXZ - MenuDisplayPositionIndexXZ - s16,Unk5 - Unk5 - s32,Unk6 - Unk6 - s32,Unk7 - Unk7 - u8,Unk8 - Unk8 - u8,Unk9 - Unk9 - u8,Unk10 - Unk10 - u8,SkillParamId1_Group2 - SkillParamId1_Group2 - s32,SkillParamId2_Group2 - SkillParamId2_Group2 - s32,SkillParamId3_Group2 - SkillParamId3_Group2 - s32,SkillParamId4_Group2 - SkillParamId4_Group2 - s32,SkillParamId5_Group2 - SkillParamId5_Group2 - s32,SkillParamId6_Group2 - SkillParamId6_Group2 - s32,SkillParamId7_Group2 - SkillParamId7_Group2 - s32,SkillParamId8_Group2 - SkillParamId8_Group2 - s32,pad1 - pad1 - dummy8
170,,640000,-1,104,-1,-1,-1,-1,150200,150210,-1,5,1,690300,699000,1,0,0,0,100,104,-1,-1,-1,-1,-1,-1,-
171,,640100,-1,170,-1,-1,-1,-1,150200,150210,-1,5,2,690300,699000,1,0,0,0,105,101,110,170,-1,-1,-1,-1,-
175,,650200,-1,105,-1,-1,-1,-1,-1,-1,-1,0,2,690300,699000,1,0,0,1,105,101,110,170,-1,-1,-1,-1,-
176,,650300,-1,105,-1,-1,-1,-1,-1,-1,-1,1,2,690300,699000,1,0,0,1,105,101,110,170,-1,-1,-1,-1,-
210,,410000,-1,-1,-1,-1,5300,-1,-1,-1,-1,4,0,690000,699000,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
211,,410100,-1,270,275,-1,7100,-1,-1,-1,-1,4,2,690100,699000,2,0,0,0,270,275,-1,-1,-1,-1,-1,-1,-
220,,411000,-1,280,211,-1,5500,-1,-1,-1,-1,4,3,690000,699000,2,0,0,0,265,280,211,-1,-1,-1,-1,-1,-
265,,660200,-1,270,-1,-1,-1,-1,150320,-1,-1,2,2,690300,699000,2,0,0,0,270,275,-1,-1,-1,-1,-1,-1,-
270,,660600,-1,210,-1,-1,-1,-1,150410,-1,-1,3,1,690300,699000,2,0,0,0,210,-1,-1,-1,-1,-1,-1,-1,-
275,,660700,-1,210,-1,-1,-1,-1,150500,-1,-1,4,1,690300,699000,2,0,0,0,210,-1,-1,-1,-1,-1,-1,-1,-
280,,660800,-1,270,-1,-1,-1,-1,150420,150421,-1,3,2,690300,699000,2,0,0,0,270,275,-1,-1,-1,-1,-1,-1,-
310,,510000,-1,-1,-1,-1,5900,-1,-1,-1,-1,4,0,690000,699000,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
311,,510100,-1,310,-1,-1,7500,-1,-1,-1,-1,4,1,690100,699000,3,0,0,0,310,-1,-1,-1,-1,-1,-1,-1,-
320,,511000,-1,365,-1,-1,5800,-1,-1,-1,-1,3,2,690000,699000,3,0,0,0,365,311,-1,-1,-1,-1,-1,-1,-
321,,511100,-1,320,-1,-1,7400,-1,-1,-1,-1,3,3,690100,699000,3,0,0,0,366,320,370,-1,-1,-1,-1,-1,-
365,,630000,-1,310,-1,-1,-1,-1,150100,-1,-1,3,1,690300,699000,3,0,0,0,310,-1,-1,-1,-1,-1,-1,-1,-
366,,630100,-1,365,-1,-1,-1,-1,150101,-1,-1,2,2,690300,699000,3,0,0,0,365,311,-1,-1,-1,-1,-1,-1,-
370,,660500,-1,311,-1,-1,-1,-1,150600,-1,-1,4,2,690300,699000,3,0,0,0,365,311,-1,-1,-1,-1,-1,-1,-
400,,511100,-1,320,-1,-1,7400,-1,-1,-1,-1,0,0,690100,699000,4,0,0,0,366,320,370,-1,-1,-1,-1,-1,-
401,,211000,-1,60,6,-1,6000,-1,-1,-1,-1,2,0,690000,699000,4,0,0,0,80,76,6,70,61,7,-1,-1,-
402,,411000,-1,275,211,-1,5500,-1,-1,-1,-1,4,0,690000,699000,4,0,0,0,265,280,211,-1,-1,-1,-1,-1,-
403,,301300,-1,102,111,-1,-1,-1,-1,-1,-1,6,0,690200,699000,4,0,0,0,175,176,102,111,171,-1,-1,-1,-
411,,610100,-1,400,401,-1,7600,-1,-1,-1,-1,0,1,690400,699000,4,0,0,0,400,401,402,403,-1,-1,-1,-1,-
421,,611100,6702,401,402,-1,7200,-1,-1,-1,-1,2,1,690400,699000,4,0,0,0,400,401,402,403,-1,-1,-1,-1,-
431,,612100,12000700,402,403,-1,7300,-1,-1,-1,-1,4,1,690400,699000,4,0,0,0,400,401,402,403,-1,-1,-1,-1,-
600,,640200,-1,-1,-1,-1,-1,-1,150200,150210,-1,0,0,690300,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
601,,640300,-1,-1,-1,-1,-1,-1,150200,150210,-1,0,0,690300,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
602,,640400,-1,-1,-1,-1,-1,-1,150200,150210,-1,0,0,690300,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
603,,650400,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,690300,699000,255,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-
604,,660100,-1,-1,-1,-1,-1,-1,150310,-1,-1,0,0,690300,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
605,,660300,-1,-1,-1,-1,-1,-1,150330,-1,-1,0,0,690300,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
610,,680000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,690200,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
620,,681000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,690200,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
630,,670000,-1,-1,-1,-1,5700,-1,-1,-1,-1,0,0,690000,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
640,,671000,-1,-1,-1,-1,5400,-1,-1,-1,-1,0,0,690000,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
650,,672000,-1,-1,-1,-1,5600,-1,-1,-1,-1,0,0,690000,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
660,,673000,-1,-1,-1,-1,6100,-1,-1,-1,-1,0,0,690000,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
670,,674000,-1,-1,-1,-1,7700,-1,-1,-1,-1,0,0,690000,699000,255,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
701,,701000,6510,-1,-1,-1,70100,-1,-1,-1,-1,0,0,1700000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
702,,702000,6510,781,-1,-1,70200,-1,-1,-1,-1,1,2,1700000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
703,,703000,6510,702,741,-1,70300,-1,-1,-1,-1,2,3,1700000,2700000,0,0,0,0,781,731,771,721,-1,-1,-1,-1,-
704,,704000,6510,702,-1,-1,70400,-1,-1,-1,-1,1,4,1700000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
705,,705000,6510,704,742,-1,70500,-1,-1,-1,-1,2,5,1700000,2700000,0,0,0,0,783,703,732,763,722,704,752,-1,-
711,,711000,6511,-1,-1,-1,71100,-1,-1,-1,-1,4,0,1710000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
712,,712000,6511,771,-1,-1,71200,-1,-1,-1,-1,4,2,1710000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
713,,713000,6511,732,-1,-1,71300,-1,-1,-1,-1,4,4,1710000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
721,,721000,6512,711,-1,-1,72100,-1,-1,-1,-1,6,1,1720000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
722,,722000,6512,721,761,-1,72200,-1,-1,-1,-1,6,3,1720000,2700000,0,0,0,0,781,731,771,721,-1,-1,-1,-1,-
723,,723000,6512,792,762,-1,72300,-1,-1,-1,-1,7,5,1720000,2700000,0,0,0,0,783,703,732,763,722,704,752,-1,-
731,,731000,6513,701,-1,-1,73100,-1,-1,-1,-1,2,1,1730000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
732,,732000,6513,712,751,-1,73200,-1,-1,-1,-1,4,3,1730000,2700000,0,0,0,0,781,731,771,721,-1,-1,-1,-1,-
733,,733000,6513,713,792,-1,73300,-1,-1,-1,-1,4,5,1730000,2700000,0,0,0,0,783,703,732,763,722,704,752,-1,-
741,,741000,6514,731,-1,-1,74100,-1,-1,-1,-1,2,2,1740000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
742,,742000,6514,703,-1,-1,74200,-1,-1,-1,-1,2,4,1740000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
751,,751000,6515,731,-1,-1,75100,-1,-1,-1,-1,3,2,1750000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
752,,752000,6515,751,-1,-1,75200,-1,-1,-1,-1,3,4,1750000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
753,,753000,6515,752,713,-1,75300,-1,-1,-1,-1,3,5,1750000,2700000,0,0,0,0,783,703,732,763,722,704,752,-1,-
761,,761000,6516,721,-1,-1,76100,-1,-1,-1,-1,6,2,1760000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
762,,762000,6516,722,-1,-1,76200,-1,-1,-1,-1,7,4,1760000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
763,,763000,6516,761,791,-1,76300,-1,-1,-1,-1,5,3,1760000,2700000,0,0,0,0,781,731,771,721,-1,-1,-1,-1,-
771,,771000,6517,711,-1,-1,77100,-1,-1,-1,-1,4,1,1770000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
772,,772000,6517,763,722,-1,77200,-1,-1,-1,-1,6,4,1770000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
781,,781000,6518,701,-1,-1,78100,-1,-1,-1,-1,0,1,1780000,2700000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
782,,782000,6518,781,-1,-1,78200,-1,-1,-1,-1,0,2,1780000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
783,,783000,6518,782,702,-1,78300,-1,-1,-1,-1,0,3,1780000,2700000,0,0,0,0,781,731,771,721,-1,-1,-1,-1,-
784,,784000,6518,783,722,-1,78400,-1,-1,-1,-1,0,4,1780000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
791,,791000,6519,771,-1,-1,79100,-1,-1,-1,-1,5,2,1790000,2700000,0,0,0,0,701,711,-1,-1,-1,-1,-1,-1,-
792,,792000,6519,763,-1,-1,79200,-1,-1,-1,-1,5,4,1790000,2700000,0,0,0,0,782,702,741,751,712,791,761,-1,-
