#ActionButtonParam=ACTIONBUTTON_PARAM_ST
ID,Name,regionType - regionType - u8,pad1 - pad1 - dummy8,dummyPoly1 - dummyPoly1 - s32,dummyPoly2 - dummyPoly2 - s32,Radius - Radius - f32,Angle - Angle - s32,depth - depth - f32,width - width - f32,height - height - f32,baseHeightOffset - baseHeightOffset - f32,angleCheckType - angleCheckType - u8,pad2 - pad2 - dummy8,AllowAngle - AllowAngle - s32,textBoxType - textBoxType - u8,pad3 - pad3 - dummy8,textId - textId - s32,InvalidFlag - InvalidFlag - s32,grayoutFlag - grayoutFlag - s32,priority - priority - s32,execInvalidTime - execInvalidTime - f32,execButtonCircle - execButtonCircle - u8,pad4 - pad4 - dummy8,Radius2 - Radius2 - f32,Height2 - Height2 - f32,BaseHeightOffset2 - BaseHeightOffset2 - f32,Radius3 - Radius3 - f32,Height3 - Height3 - f32,BaseHeightOffset3 - BaseHeightOffset3 - f32,Unk1 - Unk1 - f32,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - s32
4220,,0,-,90,-1,2,180,0,0,3.5,-2,0,-,180,0,-,10010103,-1,-1,10,3,1,-,12,4,-2,-1,-1,-2,0,0,0,-1
4300,,0,-,-1,-1,1.5,180,0,0,1.2,-0.6,0,-,180,0,-,10010107,-1,-1,10,3,1,-,4,-1,0,-1,-1,-0.6,0,0,0,-1
4400,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010110,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5000,,0,-,195,-1,1.5,90,0,0,0.5,-0.25,0,-,45,0,-,10010300,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5010,,0,-,194,-1,1.5,90,0,0,0.5,-0.25,0,-,45,0,-,10010301,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5020,,0,-,-1,-1,1.5,90,0,0,1,-0.25,0,-,45,0,-,10010350,-1,-1,10,0,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5030,,0,-,-1,-1,1.5,90,0,0,1,-0.25,0,-,45,0,-,10010360,-1,-1,10,0,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5031,,0,-,-1,-1,1.5,90,0,0,1,-0.25,0,-,45,0,-,10010361,-1,-1,10,0,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5040,,0,-,-1,-1,1.5,90,0,0,1,-0.25,0,-,45,0,-,10010370,-1,-1,10,0,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5100,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010111,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5110,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5111,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5112,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5113,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5114,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5115,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5116,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
5117,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010112,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
6000,,0,-,-1,-1,2,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
6001,,0,-,-1,-1,1.2,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,10,0,3,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
6010,,0,-,-1,-1,3,180,0,0,2,-1,0,-,90,0,-,10010200,-1,-1,10,3,0,-,10,4,-2,-1,-1,-1,0,1.3,0,-1
6100,,0,-,100,-1,1.5,180,0,0,2,-1,0,-,90,0,-,10010182,-1,-1,10,3,0,-,25,25,-12.5,-1,-1,-1,0,0,0,-1
6101,,0,-,100,-1,1.5,180,0,0,2,-1,0,-,90,0,-,10010183,-1,-1,10,3,0,-,25,25,-12.5,-1,-1,-1,0,0,0,-1
6900,,0,-,261,-1,2,180,0,0,2,-1.5,0,-,90,0,-,10010200,-1,-1,10,3,0,-,6,-1,0,-1,-1,-1.5,0,0,0,-1
6910,,0,-,280,-1,3,180,0,0,2,-2.5,0,-,90,0,-,10010200,-1,-1,10,3,0,-,8,-1,0,-1,-1,-2.5,0,0,0,-1
6920,,0,-,210,-1,2,180,0,0,2,-2.5,0,-,90,0,-,10010200,-1,-1,10,3,0,-,6,-1,0,-1,-1,-2.5,0,0,0,-1
7100,,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
7101,,0,-,101,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
7110,,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010401,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
7200,,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,241,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8000,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010420,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8010,,0,-,170,-1,1.5,100,0,0,2,-1,0,-,90,0,-,10010420,-1,-1,10,3,0,-,8,-1,-1,-1,-1,-1,0,0,0,-1
8020,,0,-,170,-1,2.25,180,0,0,4,-2,0,-,180,0,-,10010420,-1,-1,10,3,1,-,8,8,-1,-1,-1,-2,0,0,0,-1
8100,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8200,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010501,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8300,,0,-,192,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.8,0,0,0,-1
8310,,0,-,190,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.8,0,0,0,-1
8500,,1,-,-1,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,10010403,-1,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8501,,0,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,10010403,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8900,,0,-,100,-1,1.5,180,0,0,2,-0.25,0,-,180,0,-,10010195,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8901,,0,-,101,-1,1.5,180,0,0,2,-0.8,0,-,180,0,-,10010195,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.8,0,0,0,-1
8910,,0,-,-1,-1,1.5,180,0,0,2,-0.25,0,-,180,0,-,90000025,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
8920,,0,-,101,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9000,,1,-,-1,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,0,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9010,,0,-,-1,-1,10,45,0,0,2,-1,0,-,42,0,-,10010210,-1,-1,10,3,0,-,4,-1,0,-1,-1,-1,0,0,0,-1
9011,,0,-,-1,-1,10,45,0,0,2,-1,0,-,42,0,-,90000026,-1,-1,10,3,0,-,4,-1,0,-1,-1,-1,0,0,0,-1
9100,,0,-,101,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010100,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9101,,0,-,-1,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010100,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9200,,0,-,194,-1,1.5,90,0,0,5,-0.25,0,-,90,0,-,10010100,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9300,,0,-,101,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9301,,0,-,103,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9320,,0,-,101,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9321,,0,-,103,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9400,,0,-,100,-1,1.5,90,0,0,1,-0.25,0,-,90,0,-,61000000,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9401,,0,-,100,-1,1.5,90,0,0,1,-0.25,0,-,90,0,-,61000010,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
9410,,0,-,100,-1,1.5,90,0,0,1,-1,0,-,90,0,-,61000000,-1,-1,10,3,0,-,4,-1,0,-1,-1,-1,0,0,0,-1
9411,,0,-,100,-1,1.5,90,0,0,1,-1,0,-,90,0,-,61000010,-1,-1,10,3,0,-,4,-1,0,-1,-1,-1,0,0,0,-1
9500,,0,-,170,-1,1.5,180,0,0,2,-2,0,-,180,0,-,10010520,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
9501,,0,-,171,-1,1.5,180,0,0,2,-2,0,-,180,0,-,10010521,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
9600,,0,-,170,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010400,-1,-1,10,3,0,-,12,5,-4,-1,-1,-2,0,0,0,-1
9601,,0,-,170,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010400,-1,-1,10,3,0,-,30,25,-4,-1,-1,-2,0,0,0,-1
9610,,0,-,171,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010400,-1,-1,10,3,0,-,12,5,-4,-1,-1,-2,0,0,0,-1
9700,,0,-,200,-1,2,110,0,0,1,-1.9,0,-,180,0,-,10010300,-1,-1,10,3,0,-,5,1,0,-1,-1,-1.9,0,0,0,-1
9701,,0,-,204,-1,1,180,0,0,1,0,0,-,180,0,-,10010301,-1,-1,10,3,0,-,5,1,0,-1,-1,0,0,0,0,-1
9710,,0,-,200,-1,1,180,0,0,1,-1.47,0,-,180,0,-,10010540,-1,-1,10,3,0,-,4,1,-1.47,-1,-1,-1.47,0,0,0,-1
9711,,0,-,202,-1,1,180,0,0,1,-0.1,0,-,180,0,-,10010540,-1,-1,10,3,0,-,4,1,0,-1,-1,-0.1,0,0,0,-1
9715,,0,-,200,-1,1,60,0,0,1,-1.47,0,-,90,0,-,10010540,-1,-1,10,3,0,-,4,1,-1.47,-1,-1,-1.47,0,0,0,-1
9716,,0,-,204,-1,1,60,0,0,1,-0.1,0,-,90,0,-,10010540,-1,-1,10,3,0,-,4,1,0,-1,-1,-0.1,0,0,0,-1
9720,,0,-,200,-1,1.5,70,0,0,2,-0.1,0,-,70,0,-,10010511,-1,-1,10,3,0,-,5,2,-0.1,-1,-1,-0.1,0,1.7,0,-1
9730,,0,-,260,-1,1.5,180,0,0,2,-0.1,0,-,180,0,-,10010200,-1,-1,10,3,0,-,5,2,-0.1,-1,-1,-0.1,0,0,0,-1
9740,,0,-,200,-1,2.5,70,0,0,2,-0.1,0,-,70,0,-,10010121,-1,-1,10,3,0,-,7,2,-0.1,-1,-1,-0.1,0,1.5,0,-1
9750,,0,-,261,-1,2.5,180,0,0,2.5,-2,0,-,180,0,-,10010301,-1,-1,10,3,0,-,8,3.5,-3,-1,-1,-2,0,0,0,-1
9800,,0,-,20,-1,3,180,0,0,2,-2.5,0,-,180,0,-,10010120,-1,-1,10,3,0,-,7,2,-0.1,-1,-1,-2.5,0,0,0,-1
9810,,0,-,100,-1,2,180,0,0,5,-2,0,-,180,0,-,10010550,-1,-1,10,3,0,-,5,2,-0.1,-1,-1,-2,0,0,0,-1
9811,,0,-,100,-1,2,180,0,0,5,-2,0,-,180,0,-,10010551,-1,-1,10,3,0,-,5,2,-0.1,-1,-1,-2,0,0,0,-1
9820,,0,-,100,-1,2,180,0,0,5,-2,0,-,180,0,-,10010570,-1,-1,10,3,0,-,5,5,-2,-1,-1,-2,0,0,0,-1
9821,,0,-,100,-1,3,180,0,0,6,-3,0,-,180,0,-,10010560,-1,-1,10,3,0,-,6,5,-2,-1,-1,-3,0,0,0,-1
9850,,0,-,1,-1,4,180,0,0,4,-1,0,-,60,0,-,10010190,-1,-1,10,3,0,-,25,25,-2,-1,-1,-1,0,0,0,-1
9860,,0,-,1,-1,2,180,0,0,3.5,-2,0,-,180,0,-,10010580,-1,-1,10,3,0,-,25,25,-2,-1,-1,-2,0.5,0.9,-0.54,-1
9861,,0,-,1,-1,2,30,0,0,3.5,-2,0,-,45,0,-,10010581,-1,-1,10,3,0,-,25,25,-2,-1,-1,-2,0.5,0.9,-0.54,-1
962000,,0,-,210,-1,0,180,0,0,10,-4.6,0,-,60,0,-,10010250,-1,-1,10,3,2,-,33,20,-10,-1,-1,-4.6,0,0,0,-1
962010,,0,-,210,-1,0,180,0,0,15,-3,0,-,60,0,-,10010250,-1,-1,10,3,2,-,22,15,-3,-1,-1,-3,0,0,0,-1
962020,,0,-,210,-1,0,180,0,0,10,-5,0,-,60,0,-,10010250,-1,-1,10,3,2,-,38,20,-15,-1,-1,-5,0,0,0,-1
962030,,0,-,210,-1,0,180,0,0,20,-10,0,-,60,0,-,10010250,-1,-1,10,3,2,-,33,40,-20,-1,-1,-10,0,0,0,-1
962040,,0,-,210,-1,0,180,0,0,10,-5,0,-,60,0,-,10010250,-1,-1,10,3,2,-,33,40,-20,-1,-1,-5,0,0,0,-1
962050,,0,-,210,-1,0,180,0,0,10,-4.6,0,-,60,0,-,10010250,-1,-1,10,3,2,-,12,20,-10,-1,-1,-4.6,0,0,0,-1
1000200,,0,-,170,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010400,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1000670,,0,-,171,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010410,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100000,,0,-,171,-1,1.5,90,0,0,2,-2,0,-,90,0,-,10010400,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100010,,0,-,261,-1,4,90,0,0,4,-2,0,-,90,0,-,10010200,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100020,,0,-,-1,-1,2,90,0,0,2,-2,0,-,60,0,-,10010130,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100021,,0,-,-1,-1,2,90,0,0,2,-2,0,-,60,0,-,10010131,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100022,,0,-,-1,-1,2,90,0,0,2,-2,0,-,60,0,-,10010120,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100030,,0,-,200,-1,3,180,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100031,,0,-,200,-1,1.5,45,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100040,,0,-,100,-1,2,60,0,0,4,-2,0,-,180,0,-,10010183,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100050,,0,-,170,-1,1.5,180,0,0,2,-2,0,-,180,0,-,10010400,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100060,,0,-,200,-1,3,180,0,0,2,-2.5,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-2.5,-1,-1,-2.5,0,0,0,-1
1100070,,0,-,200,-1,3,180,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100080,,0,-,200,-1,3,180,0,0,3,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1100090,,0,-,-1,-1,4,180,0,0,3,-2,0,-,180,0,-,10010120,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,1.13,0.75,-0.16,-1
1110000,,0,-,200,-1,1,180,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,6,4,-2,-1,-1,-2,0,-0.5,0,-1
1110010,,0,-,200,-1,1,180,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,6,4,-2,-1,-1,-2,0,-0.5,0,-1
1110020,,0,-,200,-1,1,180,0,0,2,-2,0,-,180,0,-,10010140,-1,-1,10,3,0,-,6,4,-2,-1,-1,-2,0,-0.5,0,-1
1120000,,0,-,171,-1,4,90,0,0,4,-2,0,-,90,0,-,10010120,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
1300000,,0,-,200,-1,3,180,0,0,3,-4,0,-,180,0,-,10010140,-1,-1,10,3,0,-,12,4,-4,-1,-1,-4,-0.3,0.6,0.1,-1
1500000,,0,-,200,-1,1.5,180,0,0,2.5,-2,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,-0.1,0,-1
1778000,,0,-,200,-1,4,180,0,0,2.5,-2,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,-0.2,-1
1779000,,0,-,-1,-1,2,180,0,0,3,-3,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-3,0,-0.11,0,-1
2000000,,0,-,200,-1,4,180,0,0,2.5,-2,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
2000651,,0,-,170,-1,2,90,0,0,2,-2.5,0,-,90,0,-,10010500,-1,-1,10,3,0,-,12,4,-2.5,-1,-1,-2.5,0,0,0,-1
2000652,,0,-,170,-1,2,90,0,0,2,-2.5,0,-,90,0,-,10010501,-1,-1,10,3,0,-,12,4,-2.5,-1,-1,-2.5,0,0,0,-1
2000680,,0,-,-1,-1,4,180,0,0,4,-1,0,-,90,0,-,10010120,-1,-1,10,3,0,-,12,4,-2,-1,-1,-1,0,0,0,-1
2000681,,0,-,-1,-1,4,180,0,0,4,-1,0,-,90,0,-,10010122,-1,-1,10,3,0,-,50,10,-2,-1,-1,-1,0,1.7,0,-1
2000682,,0,-,200,-1,2,90,0,0,4,-3,0,-,90,0,-,10010140,-1,-1,10,3,0,-,50,10,-2,-1,-1,-3,0,0,0,-1
2000683,,0,-,-1,-1,4,180,0,0,4,-1,0,-,90,0,-,10010123,-1,-1,10,3,0,-,50,10,-2,-1,-1,-1,0,1.7,0,-1
2000690,,0,-,170,-1,1.5,180,0,0,1,-2,0,-,180,0,-,10010510,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
2000691,,0,-,170,-1,1.5,180,0,0,1,-2,0,-,180,0,-,10010510,-1,-1,10,3,0,-,50,20,-10,-1,-1,-2,0,0,0,-1
2000692,,0,-,-1,-1,2,180,0,0,4,-4,0,-,90,0,-,10010140,-1,-1,10,3,0,-,20,4,-4,-1,-1,-4,0,0,0,-1
2000700,,0,-,-1,-1,4,90,0,0,4,-2,0,-,90,0,-,10010200,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
2000710,,0,-,170,-1,1.5,180,0,0,3,-2,0,-,180,0,-,10010530,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
2000711,,0,-,170,-1,1.5,180,0,0,3,-2,0,-,180,0,-,10010531,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
2000720,,0,-,8,-1,1.5,180,0,0,3,-2,0,-,180,0,-,10010120,-1,-1,10,3,0,-,12,4,-2,-1,-1,-2,0,0,0,-1
3000250,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010101,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3001800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13000800,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3001830,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13000830,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3001890,,1,-,101,-1,0,0,1.5,0.6,1,-0.25,1,-,90,0,-,10010403,13000890,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3011800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13010800,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3100000,,1,-,50,-1,0,0,1.5,1.5,3,-2.3,1,-,90,0,-,10010100,-1,-1,10,-1,0,-,4,-1,0,-1,-1,-2.3,0,0,0,-1
3101800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13110800,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3201800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13200800,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3201850,,1,-,101,-1,0,0,1.5,1.5,2,-0.25,1,-,90,0,-,10010403,13200850,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3301800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13300800,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3301850,,1,-,101,-1,0,0,1.5,1.5,1,-0.35,1,-,90,0,-,10010403,13300850,-1,10,-1,0,-,4,-1,0,-1,-1,-0.35,0,0,0,-1
3411830,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13410830,-1,10,-1,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
