#ReinforceParamWeapon=REINFORCE_PARAM_WEAPON_ST
ID,Name,physicsAtkRate - physicsAtkRate - f32,magicAtkRate - magicAtkRate - f32,fireAtkRate - fireAtkRate - f32,thunderAtkRate - thunderAtkRate - f32,staminaAtkRate - staminaAtkRate - f32,saWeaponAtkRate - saWeaponAtkRate - f32,saDurabilityRate - saDurabilityRate - f32,correctStrengthRate - correctStrengthRate - f32,correctAgilityRate - correctAgilityRate - f32,correctMagicRate - correctMagicRate - f32,correctFaithRate - correctFaithRate - f32,physicsGuardCutRate - physicsGuardCutRate - f32,magicGuardCutRate - magicGuardCutRate - f32,fireGuardCutRate - fireGuardCutRate - f32,thunderGuardCutRate - thunderGuardCutRate - f32,poisonGuardResistRate - poisonGuardResistRate - f32,toxicGuardResistRate - toxicGuardResistRate - f32,bleedGuardResistRate - bleedGuardResistRate - f32,curseGuardResistRate - curseGuardResistRate - f32,staminaGuardResistRate - staminaGuardResistRate - f32,spEffectId1 - spEffectId1 - u8,spEffectId2 - spEffectId2 - u8,spEffectId3 - spEffectId3 - u8,ResidentSpEffectId1 - ResidentSpEffectId1 - u8,ResidentSpEffectId2 - ResidentSpEffectId2 - u8,ResidentSpEffectId3 - ResidentSpEffectId3 - u8,materialSetId - materialSetId - u8,pad1 - pad1 - dummy8,darkAtkRate - darkAtkRate - f32,darkCutRate - darkCutRate - f32,StabilityAtkRate - StabilityAtkRate - f32,StabilityCutRate - StabilityCutRate - f32,frostGuardResistRate - frostGuardResistRate - f32,unk1 - unk1 - f32,pad2 - pad2 - dummy8
109,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
110,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
112,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1010,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1011,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1020,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1021,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1030,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1031,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1040,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1050,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1051,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1060,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1061,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1070,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1071,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1080,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1081,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1090,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1091,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,1,1,1,1,1,1,-
1100,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
