#LockCamParam=LOCK_CAM_PARAM_ST
ID,Name,CamDistTarget - CamDistTarget - f32,rotRangeMinX - rotRangeMinX - f32,lockRotXShiftRatio - lockRotXShiftRatio - f32,chrOrgOffsetZ - chrOrgOffsetZ - f32,chrLockRangeMaxRadius - chrLockRangeMaxRadius - f32,FovYChange - FovYChange - f32,ChrLockRangeMaxRadius_forDark - ChrLockRangeMaxRadius_forDark - f32,ChrLockRangeMaxRadius_forPitchDark - ChrLockRangeMaxRadius_forPitchDark - f32,MeleeAttackCaptureUpperLimitHeight - MeleeAttackCaptureUpperLimitHeight - f32,AttackCaptureLowerLimitHeight - AttackCaptureLowerLimitHeight - f32,AttackAutoAcquisitionAngleRangeLeft - AttackAutoAcquisitionAngleRangeLeft - f32,MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius - MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius - f32,MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius - MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius - f32,ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius - ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius - f32,BulletAutoCaptureCharacterRangeMaximumRadius - BulletAutoCaptureCharacterRangeMaximumRadius - f32,BulletAutoCaptureDarkCharacterRangeMaximumRadius - BulletAutoCaptureDarkCharacterRangeMaximumRadius - f32,BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius - BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius - f32,BulletAutoCapturingAngleRangeLeftAndRight - BulletAutoCapturingAngleRangeLeftAndRight - f32,pad1 - pad1 - dummy8
5201,,7,-60,0.35,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5202,,7,-60,0,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5203,,7,-60,1,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7000,,3.5,-40,0.23,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020,,7,10,0.15,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7021,,10,0,0.15,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7022,,10,0,0.15,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
59200,,4,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
59201,,4,-60,0.45,2,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
59210,,4,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000000,,5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000001,,4,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000007,,8,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000100,,5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000101,,4,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5000107,,8,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5050000,,9,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5050100,,6.5,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5050101,,5.5,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5060000,,5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5060001,,4,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5060007,,8,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5061000,,5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5061001,,4,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5061007,,8,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080000,,6,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080001,,5,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080007,,9,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080100,,6,-80,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080101,,5,-80,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080107,,9,-80,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080200,,3,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080201,,3,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5080207,,6,-40,0.5,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5090000,,5,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5090001,,4,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5090007,,8,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100000,,5.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100001,,4.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100007,,8.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100010,,6.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100011,,5.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100017,,9.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100020,,7.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100021,,6.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100027,,10.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100100,,7.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100101,,6.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100107,,10.5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100110,,7.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100111,,6.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100117,,10.5,-40,0.2,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100120,,7.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100121,,6.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5100127,,10.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
5200000,,7,-60,0.3,1.5,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5200001,,5,-60,0.3,1.5,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5200007,,9,-60,0.3,1.5,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5200100,,5,-40,0.1,1.5,200,40,200,200,1,3,30,3,3,3,30,15,10,15,-
5200200,,12,-40,0.1,1.5,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5200300,,30,-40,0.1,0,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5200310,,10,-40,0.1,1.5,200,53,200,200,1,3,30,3,3,3,30,15,10,15,-
5300000,,4.5,-40,0.45,1.5,15,43,9,5,1,3,30,3,3,3,30,15,10,15,-
5300001,,3.5,-40,0.45,1.5,15,43,9,5,1,3,30,3,3,3,30,15,10,15,-
5300007,,7.5,-40,0.45,1.5,15,43,9,5,1,3,30,3,3,3,30,15,10,15,-
5300100,,6.5,-40,0,1.5,15,53,9,5,1,3,30,3,3,3,30,15,10,15,-
5300101,,5.5,-40,0,1.5,15,53,9,5,1,3,30,3,3,3,30,15,10,15,-
5300107,,9.5,-40,0,1.5,15,53,9,5,1,3,30,3,3,3,30,15,10,15,-
5400000,,5,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5400001,,4,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5400007,,8,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5400500,,5,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5400501,,4,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5400507,,8,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7000000,,4.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7000001,,3.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7000007,,7.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020000,,7.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020001,,6.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020007,,10.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020100,,9.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
7020101,,8.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
7020107,,12.5,-80,0.6,1.5,30,53,15,10,1,3,30,3,3,3,30,15,10,15,-
7020200,,7.5,-40,0.9,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020201,,6.5,-40,0.9,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020207,,10.5,-40,0.9,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020300,,9.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020301,,8.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7020307,,12.5,-40,0.3,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100000,,5,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100001,,4,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100007,,8,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100100,,4,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100101,,3,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100107,,7,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100500,,5,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100501,,4,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100507,,8,-40,0.2,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100600,,4,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100601,,3,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7100607,,7,-40,0.6,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7400000,,4.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7400001,,3.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
7400007,,7.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
