#HitMtrlParam=HIT_MTRL_PARAM_ST
ID,Name,aiVolumeRate - aiVolumeRate - f32,spEffectId0 - spEffectId0 - s32,spEffectId1 - spEffectId1 - s32,FootEffectHeightType0 - FootEffectHeightType0 - u8,FootEffectHeightType1 - FootEffectHeightType1 - u8,footEffectDirType0 - footEffectDirType0 - u8,footEffectDirType1 - footEffectDirType1 - u8,newSpType0 - newSpType0 - u8,newSpType1 - newSpType1 - u8,unkb1 - unkb1 - u8,unkb2 - unkb2 - u8,HitMtrlType0 - HitMtrlType0 - u8,HitMtrlType1 - HitMtrlType1 - u8,HitMtrlType2 - HitMtrlType2 - u8,spEffectId2 - spEffectId2 - s32,spEffectId3 - spEffectId3 - s32,spEffectId4 - spEffectId4 - s32,spEffectId5 - spEffectId5 - s32,spEffectId6 - spEffectId6 - s32,spEffectId7 - spEffectId7 - s32,spEffectId8 - spEffectId8 - s32,spEffectId9 - spEffectId9 - s32,spEffectId10 - spEffectId10 - s32,spEffectId11 - spEffectId11 - s32,spEffectId12 - spEffectId12 - s32,spEffectId13 - spEffectId13 - s32,spEffectId14 - spEffectId14 - s32,spEffectId15 - spEffectId15 - s32,spEffectId16 - spEffectId16 - s32,pad1 - pad1 - dummy8
37,,1,110147,-1,1,0,0,0,1,0,0,0,1,0,0,-1,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
38,,1,110147,-1,1,0,0,0,1,0,0,0,1,0,0,-1,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
39,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
40,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
41,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
42,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
43,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
44,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
45,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
46,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
47,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
48,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
49,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
80,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
