#EquipMtrlSetParam=EQUIP_MTRL_SET_PARAM_ST
ID,Name,MaterialId01 - MaterialId01 - s32,MaterialId02 - MaterialId02 - s32,MaterialId03 - MaterialId03 - s32,MaterialId04 - MaterialId04 - s32,MaterialId05 - MaterialId05 - s32,ItemNum01 - ItemNum01 - s8,ItemNum02 - ItemNum02 - s8,ItemNum03 - ItemNum03 - s8,ItemNum04 - ItemNum04 - s8,ItemNum05 - ItemNum05 - s8,isDisableDispNum01 - isDisableDispNum01 - u8,isDisableDispNum02 - isDisableDispNum02 - u8,isDisableDispNum03 - isDisableDispNum03 - u8,isDisableDispNum04 - isDisableDispNum04 - u8,isDisableDispNum05 - isDisableDispNum05 - u8,pad1 - pad1 - dummy8
702000,,6010,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,1,0,0,-
703000,,9701,6010,6300,6000,-1,1,3,3,6,-1,0,0,1,0,0,-
704000,,6020,6010,6000,-1,-1,2,4,4,-1,-1,0,0,1,0,0,-
705000,,6400,6020,6310,6010,6300,2,5,3,6,6,0,0,1,0,0,-
711000,,6000,6100,-1,-1,-1,2,1,-1,-1,-1,0,0,1,0,0,-
712000,,6200,6100,-1,-1,-1,2,3,-1,-1,-1,0,0,1,0,0,-
713000,,6020,6210,6300,-1,-1,2,2,5,-1,-1,0,0,1,0,0,-
721000,,6000,6100,-1,-1,-1,3,4,-1,-1,-1,0,0,1,0,0,-
722000,,9721,6010,6200,6100,-1,1,2,4,6,-1,0,0,1,0,0,-
723000,,6400,6210,6310,6200,6300,3,4,4,7,7,0,0,1,0,0,-
731000,,6000,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,1,0,0,-
732000,,6020,6200,6000,6100,-1,2,2,4,4,-1,0,0,1,0,0,-
733000,,6400,6020,6210,6310,-1,3,5,3,3,-1,0,0,1,0,0,-
741000,,6010,6300,6100,-1,-1,2,1,2,-1,-1,0,0,1,0,0,-
742000,,6210,6310,6200,6300,-1,3,3,4,4,-1,0,0,1,0,0,-
751000,,6010,6000,-1,-1,-1,4,4,-1,-1,-1,0,0,1,0,0,-
752000,,6020,6010,6000,-1,-1,4,4,8,-1,-1,0,0,1,0,0,-
753000,,6400,6020,6210,6010,6000,2,4,4,8,12,0,0,1,0,0,-
761000,,6010,6000,-1,-1,-1,3,4,-1,-1,-1,0,0,1,0,0,-
762000,,6020,6210,6010,6200,-1,2,2,6,6,-1,0,0,1,0,0,-
763000,,6010,6300,6000,-1,-1,4,4,6,-1,-1,0,0,1,0,0,-
771000,,6000,6100,-1,-1,-1,3,2,-1,-1,-1,0,0,1,0,0,-
772000,,6020,6310,6300,6000,-1,2,2,4,8,-1,0,0,1,0,0,-
781000,,6000,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,1,0,0,-
782000,,6010,6000,-1,-1,-1,3,4,-1,-1,-1,0,0,1,0,0,-
783000,,6010,6000,-1,-1,-1,4,10,-1,-1,-1,0,0,1,0,0,-
784000,,6020,6210,6200,6100,-1,2,1,4,8,-1,0,0,1,0,0,-
791000,,6010,6300,-1,-1,-1,3,2,-1,-1,-1,0,0,1,0,0,-
792000,,9791,6020,6310,6010,6300,1,2,2,4,4,0,0,1,0,0,-
