#ShopLineupParam=SHOP_LINEUP_PARAM
ID,Name,EquipId - EquipId - s32,value - value - s32,mtrlId - mtrlId - s32,EventFlag - EventFlag - s32,qwcID - qwcID - s32,sellQuantity - sellQuantity - s16,shopType - shopType - u8,equipType - equipType - u8,value_SAN - value_SAN - s16,pad1 - pad1 - dummy8,PriceRate - PriceRate - f32
1110001,,5502,5000,-1,71111010,-1,1,0,3,-1,-,1
1110002,,3020,80,-1,71111020,-1,4,0,3,-1,-,1
1110003,,3250,30,-1,71111030,-1,8,0,3,-1,-,1
1110004,,3700,110,-1,71111040,-1,4,0,3,-1,-,1
1110005,,3704,550,-1,71111050,-1,3,0,3,-1,-,1
1110006,,3620,50,-1,71111060,-1,2,0,3,-1,-,1
1110007,,5600,180,-1,71111070,9092,1,0,3,-1,-,1
1110008,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1110009,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1110010,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1110011,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1110012,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1110013,,5600,240,-1,71111130,9097,1,0,3,-1,-,1
1110050,,4000,1260,-1,71111000,-1,1,0,3,-1,-,1
1110051,,5502,4500,-1,71111010,-1,1,0,3,-1,-,1
1110052,,3020,72,-1,71111020,-1,4,0,3,-1,-,1
1110053,,3250,27,-1,71111030,-1,8,0,3,-1,-,1
1110054,,3700,100,-1,71111040,-1,4,0,3,-1,-,1
1110055,,3704,500,-1,71111050,-1,3,0,3,-1,-,1
1110056,,3620,45,-1,71111060,-1,2,0,3,-1,-,1
1110057,,5600,162,-1,71111070,9092,1,0,3,-1,-,1
1110058,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1110059,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1110060,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1110061,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1110062,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1110063,,5600,216,-1,71111130,9097,1,0,3,-1,-,1
1111400,,9760,1600,-1,71111500,-1,1,0,3,-1,-,1
1111401,,2450,1200,-1,71111510,-1,1,0,3,-1,-,1
1111402,,3530,80,-1,71111520,9400,8,0,3,-1,-,1
1111403,,3410,130,-1,71111530,-1,3,0,3,-1,-,1
1111404,,3290,30,-1,71111540,-1,2,0,3,-1,-,1
1111405,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1111406,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1111407,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1111408,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1111409,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1111450,,9760,1440,-1,71111500,-1,1,0,3,-1,-,1
1111451,,2450,1080,-1,71111510,-1,1,0,3,-1,-,1
1111452,,3530,72,-1,71111520,9400,8,0,3,-1,-,1
1111453,,3410,117,-1,71111530,-1,3,0,3,-1,-,1
1111454,,3290,27,-1,71111540,-1,2,0,3,-1,-,1
1111455,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1111456,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1111457,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1111458,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1111459,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1500000,,3320,1800,-1,71501000,-1,1,0,3,-1,-,1
1500001,,3020,80,-1,71501010,-1,5,0,3,-1,-,1
1500002,,6020,600,-1,71501020,-1,2,0,3,-1,-,1
1500003,,3440,100,-1,71501030,-1,2,0,3,-1,-,1
1500004,,3704,550,-1,71501040,-1,3,0,3,-1,-,1
1500005,,3708,1100,-1,71501050,-1,2,0,3,-1,-,1
1500006,,10000,500,-1,71501070,-1,2,0,3,-1,-,1
1500007,,9103,1000,-1,71501080,-1,1,0,3,-1,-,1
1500008,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1500009,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1500010,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1500011,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1500012,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1500050,,3320,1620,-1,71501000,-1,1,0,3,-1,-,1
1500051,,3020,72,-1,71501010,-1,5,0,3,-1,-,1
1500052,,6020,540,-1,71501020,-1,2,0,3,-1,-,1
1500053,,3440,90,-1,71501030,-1,2,0,3,-1,-,1
1500054,,3704,500,-1,71501040,-1,3,0,3,-1,-,1
1500055,,3708,1000,-1,71501050,-1,2,0,3,-1,-,1
1500056,,10000,450,-1,71501070,-1,2,0,3,-1,-,1
1500057,,9103,900,-1,71501080,-1,1,0,3,-1,-,1
1500058,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1500059,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1500060,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1500061,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1500062,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1700000,,3300,1800,-1,71701000,-1,1,0,3,-1,-,1
1700001,,3020,80,-1,71701010,-1,5,0,3,-1,-,1
1700002,,3200,120,-1,-1,-1,-1,0,3,-1,-,1
1700003,,6200,270,-1,71701030,-1,2,0,3,-1,-,1
1700004,,3704,550,-1,71701040,-1,5,0,3,-1,-,1
1700005,,5600,180,-1,71701050,9094,2,0,3,-1,-,1
1700006,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1700007,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1700008,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1700009,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1700010,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1700005,,5600,240,-1,71701110,9099,1,0,3,-1,-,1
1700050,,3300,1620,-1,71701000,-1,1,0,3,-1,-,1
1700051,,3020,72,-1,71701010,-1,5,0,3,-1,-,1
1700052,,3200,108,-1,-1,-1,-1,0,3,-1,-,1
1700053,,6200,243,-1,71701030,-1,2,0,3,-1,-,1
1700054,,3704,500,-1,71701040,-1,5,0,3,-1,-,1
1700055,,5600,162,-1,71701050,9094,2,0,3,-1,-,1
1700056,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1700057,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1700058,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1700059,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1700060,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1700055,,5600,216,-1,71701110,9099,1,0,3,-1,-,1
2000000,,3580,1600,-1,72001000,-1,1,0,3,-1,-,1
2000001,,6010,330,-1,72001010,-1,2,0,3,-1,-,1
2000002,,3400,80,-1,72001020,-1,3,0,3,-1,-,1
2000003,,3420,80,-1,72001030,-1,5,0,3,-1,-,1
2000004,,3070,30,-1,72001040,-1,2,0,3,-1,-,1
2000005,,3700,110,-1,72001050,-1,2,0,3,-1,-,1
2000006,,3704,550,-1,72001060,-1,3,0,3,-1,-,1
2000007,,3708,1100,-1,72001070,-1,2,0,3,-1,-,1
2000008,,5600,180,-1,72001080,9093,1,0,3,-1,-,1
2000009,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
2000010,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
2000011,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
2000012,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
2000013,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
2000014,,5600,240,-1,72001140,9098,1,0,3,-1,-,1
2000050,,3580,1440,-1,72001000,-1,1,0,3,-1,-,1
2000051,,6010,297,-1,72001010,-1,2,0,3,-1,-,1
2000052,,3400,72,-1,72001020,-1,3,0,3,-1,-,1
2000053,,3420,72,-1,72001030,-1,5,0,3,-1,-,1
2000054,,3070,27,-1,72001040,-1,2,0,3,-1,-,1
2000055,,3700,100,-1,72001050,-1,2,0,3,-1,-,1
2000056,,3704,500,-1,72001060,-1,3,0,3,-1,-,1
2000057,,3708,1000,-1,72001070,-1,2,0,3,-1,-,1
2000058,,5600,162,-1,72001080,9093,1,0,3,-1,-,1
2000059,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
2000060,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
2000061,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
2000062,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
2000063,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
2000064,,5600,216,-1,72001140,9098,1,0,3,-1,-,1
2500000,,5501,0,12,72501000,-1,1,0,3,-1,-,1
2500001,,6400,0,6,72501020,-1,2,0,3,-1,-,1
2500002,,5600,0,1,72501030,-1,1,0,3,-1,-,1
2500003,,3051,0,3,-1,59,-1,0,3,-1,-,1
2500004,,2461,0,5,71001000,1622,1,0,3,-1,-,1
2500005,,3310,0,2,71001010,1622,1,0,3,-1,-,1
2500006,,5500,0,7,71001020,1622,1,0,3,-1,-,1
2500007,,3040,0,1,71001040,1622,1,0,3,-1,-,1
9000000,,1000,-1,-1,-1,6205,-1,0,3,-1,-,50
9100000,,1000,-1,-1,-1,6205,-1,0,3,-1,-,50
9620000,,4000,-1,-1,79621000,-1,1,0,4,-1,-,1
9620001,,1020,-1,-1,79621010,-1,2,0,3,-1,-,3
9620002,,73000,-1,-1,79621020,-1,1,0,0,-1,-,1
9620003,,4000,-1,-1,-1,6002,-1,0,3,-1,-,1
9620004,,4000,-1,-1,-1,6002,-1,0,3,-1,-,1
9620006,,4100,-1,-1,-1,6002,-1,0,3,-1,-,1
9620007,,4100,-1,-1,-1,6002,-1,0,3,-1,-,1
9620008,,4100,-1,-1,-1,6002,-1,0,3,-1,-,1
9620009,,2200,-1,-1,-1,6002,-1,0,3,-1,-,1
9620010,,72000,-1,-1,-1,6002,-1,0,0,-1,-,1
9620011,,71000,-1,-1,-1,6002,-1,0,0,-1,-,1
9620100,,2110,-1,-1,79621030,-1,1,0,3,-1,-,1
9620101,,10300,-1,-1,79621040,-1,1,0,3,-1,-,1
9620102,,4000,-1,-1,79621050,-1,1,0,3,-1,-,1.5
9620103,,4100,-1,-1,79621060,-1,1,0,3,-1,-,1.5
9620200,,2500,-1,-1,79621070,-1,1,0,3,-1,-,1
9620201,,4010,-1,-1,79621080,-1,1,0,3,-1,-,1
9620202,,4100,-1,-1,79621090,-1,1,0,3,-1,-,5
9620300,,1000,-1,-1,-1,-1,-1,0,3,-1,-,3
9620301,,1010,-1,-1,-1,-1,-1,0,3,-1,-,10
9620302,,1020,-1,-1,-1,-1,-1,0,3,-1,-,18
9999000,,10500,-1,-1,-1,-1,-1,0,3,-1,-,1
9999001,,2000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999002,,4000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999003,,4000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999004,,4000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999005,,4100,-1,-1,-1,-1,-1,0,3,-1,-,1
9999006,,4100,-1,-1,-1,-1,-1,0,3,-1,-,1
9999007,,4110,-1,-1,-1,-1,-1,0,3,-1,-,1
9999008,,2200,-1,-1,-1,-1,-1,0,3,-1,-,1
9999009,,72000,-1,-1,-1,-1,-1,0,0,-1,-,1
9999010,,70000,-1,-1,-1,-1,-1,0,0,-1,-,1
9999011,,2110,-1,-1,-1,-1,-1,0,3,-1,-,1
9999012,,10300,-1,-1,-1,-1,-1,0,3,-1,-,1
9999013,,4000,-1,-1,-1,-1,-1,0,3,-1,-,2
9999014,,4100,-1,-1,-1,-1,-1,0,3,-1,-,2
9999015,,2500,-1,-1,-1,-1,-1,0,3,-1,-,1
9999016,,4010,-1,-1,-1,-1,-1,0,3,-1,-,1
9999017,,4100,-1,-1,-1,-1,-1,0,3,-1,-,2
9999018,,1000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999019,,1010,-1,-1,-1,-1,-1,0,3,-1,-,1
9999020,,1020,-1,-1,79901200,-1,10,0,3,-1,-,1
9999021,,10010,-1,-1,-1,-1,-1,0,3,-1,-,1
9999022,,9800,-1,-1,-1,-1,-1,0,0,-1,-,1
9999023,,10300,-1,-1,-1,-1,-1,0,0,-1,-,1
9999024,,9600,-1,-1,-1,-1,-1,0,0,-1,-,1
9999025,,10300,-1,-1,-1,-1,-1,0,3,-1,-,1
9999026,,10400,-1,-1,-1,-1,-1,0,3,-1,-,1
9999027,,3005,-1,-1,-1,-1,-1,0,3,-1,-,1
9999028,,2500,-1,-1,-1,-1,-1,0,3,-1,-,1
9999029,,4000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999030,,4010,-1,-1,-1,-1,-1,0,3,-1,-,1
9999031,,4100,-1,-1,-1,-1,-1,0,3,-1,-,1
9999032,,4200,-1,-1,-1,-1,-1,0,3,-1,-,1
9999033,,2000,-1,-1,-1,-1,-1,0,3,-1,-,1
9999034,,2100,-1,-1,-1,-1,-1,0,3,-1,-,1
9999035,,2110,-1,-1,-1,-1,-1,0,3,-1,-,1
9999036,,2120,-1,-1,-1,-1,-1,0,3,-1,-,1
9999037,,2200,-1,-1,-1,-1,-1,0,3,-1,-,1
9999100,,10010,0,1,-1,-1,-1,0,3,-1,-,1
9999101,,2000,0,2,-1,-1,-1,0,3,-1,-,1
9999102,,4000,0,3,-1,-1,-1,0,3,-1,-,1
9999103,,4000,0,1,-1,-1,-1,0,3,-1,-,1
9999104,,4000,0,2,-1,-1,-1,0,3,-1,-,1
9999105,,3005,0,3,-1,-1,-1,0,3,-1,-,1
9999200,,70000,0,100000,79901100,-1,1,0,0,-1,-,1
9999201,,71000,0,100010,79901110,-1,1,0,0,-1,-,1
9999202,,72000,0,100020,79901120,-1,1,0,0,-1,-,1
9999203,,73000,0,100030,79901130,-1,1,0,0,-1,-,1
9999204,,74000,0,100040,79901140,-1,1,0,0,-1,-,1
9999205,,75000,0,100050,79901150,-1,1,0,0,-1,-,1
9999206,,76000,0,100060,79901160,-1,1,0,0,-1,-,1
9999207,,77000,0,100070,79901170,-1,1,0,0,-1,-,1
9999208,,78000,0,100080,79901180,-1,1,0,0,-1,-,1
9999209,,79000,0,100090,79901190,-1,1,0,0,-1,-,1
